

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3482,17665,True,100.0,-100.0,R2,None,linear,1,float,Reals
3482,17656,False,100.0,0.01,C,None,linear,1,float,Reals
3482,17660,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3482,17659,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3482,17664,False,100.0,0.01,gamma,None,linear,1,float,Reals
3482,17662,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3482,17663,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3482,17661,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3482,17658,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3482,17657,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
36084,-0.10643492405,0.01,5,0.296867768897,92.8895227092,184,3,3,108.462112343,30.7414448585
36075,-0.105287585011,99.9173859446,5,0.391760712105,13.297449252,183,3,0,0.0,1000.0
36069,-0.162754277353,78.0158951925,4,0.892328124415,6.03066175793,93,3,0,120.509098956,1.0
36060,-0.0940900790873,0.01,1,0.378524815911,11.4546990479,2,3,0,100.117471817,353.479349849
36053,-0.111666208942,95.4121253504,5,0.285992458049,6.70680445792,171,2,0,184.0,446.551164877
36042,-0.00216267367094,65.83905694,1,0.388945969172,0.01,184,2,3,184.0,1000.0
36026,-0.0854064190898,83.046322171,5,0.363049638672,1.59837590091,104,3,0,166.06479313,1.0
36014,-0.108803857426,0.01,5,0.404598541407,0.01,184,3,3,183.998904929,996.478230511
36002,-0.144517641252,0.01,1,0.01,91.1093773706,2,3,0,0.0,684.758055945
35996,-0.100821269783,66.1184428308,1,0.717381435758,1.44131598169,2,3,0,137.602928389,1.0
35966,0.105843707079,47.9428059148,2,0.353382201815,0.01,184,2,3,183.998045289,97.9075564649
35970,0.118019295542,46.8200020203,2,0.358989325452,0.01,182,2,2,183.892668828,141.933852419
35946,-0.0792550995597,33.64926087,1,0.493172755565,0.480119451545,162,2,0,25.410441366,51.710322649
35945,-0.00944350486933,100.0,1,0.184340419337,0.01,184,2,3,184.0,1000.0
35911,0.0264001373502,47.0014523458,5,0.293876977488,0.01,184,2,2,184.0,1000.0
35902,0.0283374151211,45.8377959737,5,0.285334617219,0.01,184,2,2,184.0,993.906074355
35879,0.125180189227,35.0846868139,3,0.300792219565,0.01,184,2,3,184.0,99.935467674
35844,0.104897535914,24.274383607,3,0.385513970168,0.01,184,2,3,166.029896539,851.694459666
35874,-0.100555199349,0.01,1,0.312245458748,3.72412852533,2,3,0,174.907887796,811.895506397
35839,-0.0553129575657,0.01,5,0.571070494945,1.14200341623,2,3,0,184.0,840.718835446
