

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3483,17675,True,100.0,-100.0,R2,None,linear,1,float,Reals
3483,17666,False,100.0,0.01,C,None,linear,1,float,Reals
3483,17670,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3483,17669,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3483,17674,False,100.0,0.01,gamma,None,linear,1,float,Reals
3483,17672,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3483,17673,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3483,17671,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3483,17668,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3483,17667,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
36094,0.822353270041,72.699413115,1,5.54905335245,1.21418840215,2,3,1,34.6700950258,76.9882515637
36089,0.79623161892,79.2104812778,1,0.01,2.31112175565,2,3,1,0.0,63.6312703158
36082,0.800908867151,52.184381018,5,0.577868463645,0.262818437592,90,2,1,36.8886561265,125.160190294
36077,-0.257800521462,0.01,5,0.01,100.0,2,3,0,0.0,6.78885318908
36070,0.830828799081,99.1162469799,1,0.01,0.302364387132,34,3,1,55.1167610448,147.247138747
36066,0.838593256691,98.1918603694,1,0.01,0.249564842168,53,3,1,88.0487814388,153.612519362
36059,0.838430092005,99.3073154503,1,0.01,0.388973186788,41,3,1,91.1267083548,129.185243889
36054,0.800746108006,95.5986009011,1,0.01,0.623196255254,108,3,2,27.5477662946,88.0824244489
36047,0.835711601557,44.4466098978,1,0.01,0.747038930814,44,3,1,27.850147343,70.2906638465
36041,-1.00179400838,0.01,5,25.0724853773,0.01,173,3,0,30.6914719512,1.0
36031,0.83685290858,83.0623781095,1,0.01,0.248156356059,184,3,1,0.0,143.601644566
36017,0.836669756092,35.7680889982,1,0.01,0.655059347215,150,3,1,114.09664412,107.692509018
36000,-0.325093955234,0.01,1,0.0113134540311,0.546147847857,2,3,2,0.832364110946,1.0
35998,0.833951032983,50.6247633383,2,0.01,0.398608862806,184,3,1,71.8000716375,93.1886737769
35978,0.809755531588,99.9444825153,1,0.01,1.23241012566,54,3,2,96.9787578046,121.803389145
35975,0.816338613734,100.0,1,0.01,0.842575228413,63,3,2,87.3106318537,118.213598715
35951,0.834177778891,62.8601654253,2,0.01,0.413265005656,22,3,1,62.3034387249,108.044685556
35948,0.83133039205,38.2444927679,1,0.01,0.625227348373,8,3,2,50.8613540623,74.2126832711
35920,0.843039744861,99.183702244,1,0.01,0.299579132426,85,3,1,97.9816876386,137.882162014
35914,0.742000546003,18.5452745406,5,0.01,1.64104385388,144,3,1,0.0,103.019664422
35882,0.82840377942,23.3927320086,1,0.01,2.47391944063,2,3,1,76.2850463193,48.3379702946
35843,0.795887244133,94.81163155,1,0.01,2.46640198092,2,3,2,34.6165394125,84.6207540809
35877,0.825348303709,21.0786337587,1,0.01,1.20004562086,2,3,1,42.2786664907,92.4059003948
35840,0.800090116349,100.0,1,0.01,1.23766747684,2,3,2,10.0978902471,99.819215498
35810,0.819847750635,19.3936870257,1,0.01,1.75836892358,151,3,1,75.4023281803,78.0348858487
35804,0.83428462685,100.0,1,0.01,0.406911299232,180,3,1,75.4316551602,171.813122639
35771,0.839378366252,68.8981686767,1,0.01,0.265894100798,146,3,1,92.5594528099,189.817894002
35766,0.837923633893,43.1568206677,1,0.01,0.443644631462,138,3,1,90.971275239,137.133535692
35735,0.82942497879,36.4957872929,1,0.01,0.742981946267,61,3,1,0.0,96.933530712
35725,0.624289168802,100.0,2,0.428333156981,1.13582325156,2,3,1,184.0,93.0510906992
35697,0.815204986441,40.3689316464,1,0.01,0.546723829898,132,3,2,85.0848091785,105.276242343
35692,0.802569595035,53.6892786279,3,0.01,0.89931943597,3,3,1,0.0,83.028414775
35665,0.824432753025,52.1278420994,1,0.01,1.68318096007,2,3,1,59.9303191488,97.485196139
35655,0.83580277092,36.1659215118,1,0.01,0.440577664296,127,3,1,62.9425397126,136.9776462
35624,0.755333264576,100.0,3,0.01,0.232786435581,160,3,2,41.2030599723,1000.0
35616,0.821452351204,18.9516722951,1,0.01,0.648777765633,130,3,1,0.0,95.9807106628
35580,0.834002298753,47.8519842124,1,0.01,0.198210647774,183,3,1,94.2096958038,999.656870963
35577,0.395740113184,99.7871691921,5,0.01,0.424871939039,92,3,1,107.396131795,27.2500437271
35541,0.7881515971,43.0109732292,2,0.010057151511,0.25053578872,184,2,1,38.8931335081,588.599058184
35537,0.839577827064,100.0,1,0.01,0.14530092375,184,3,1,94.4118386709,999.185284597
35496,0.784974456357,29.4002820593,1,0.16359057695,0.169158028616,137,2,1,38.8887546575,848.95341458
35488,0.648784411655,100.0,1,6.8587883895,0.983371994394,84,3,3,40.1875784292,1000.0
35450,0.787615257482,100.0,1,0.01,0.889475329848,173,3,3,17.3168257069,635.143835728
35443,0.830268000893,99.9768705763,1,0.022468357076,0.657434775415,2,3,1,66.6600352456,78.5214953085
35404,0.708794880878,99.9999349594,1,0.01,0.61200184813,179,2,3,0.0,890.079873299
35408,0.796613571193,99.9997794133,1,0.01,0.527683422692,172,3,3,17.2214310723,630.705434823
35360,0.663881444318,100.0,1,3.18324850481,2.72800783513,2,3,3,18.5175572777,1000.0
35354,0.834488603459,100.0,1,0.01,1.09047542,12,3,2,0.0,894.700968633
