

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3496,17805,True,100.0,-100.0,R2,None,linear,1,float,Reals
3496,17796,False,100.0,0.01,C,None,linear,1,float,Reals
3496,17800,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3496,17799,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3496,17804,False,100.0,0.01,gamma,None,linear,1,float,Reals
3496,17802,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3496,17803,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3496,17801,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3496,17798,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3496,17797,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
36225,-0.0480204575558,66.6046723694,2,0.789669972932,69.8684011433,135,2,0,0.0,74.9491764738
36207,-0.0357816522982,99.8894835952,1,0.582293136291,0.0304085699009,120,2,0,170.291621972,553.745187254
36123,-0.0372956779292,0.01,5,0.766252258147,32.768949886,182,3,3,0.0,81.4586165025
36117,0.0304700656005,100.0,5,0.764302358178,0.0132505586223,125,3,1,160.130555521,88.9924862501
36111,0.0937771451025,100.0,1,0.537963058474,0.01,18,2,3,182.41927594,104.761682301
36108,0.0186292671962,99.999990548,1,0.562390114367,0.01,15,2,3,164.737898577,977.678125911
36104,-0.0493314324035,100.0,2,0.495231391866,0.01,14,2,3,164.087852856,1000.0
36098,-0.0300244707707,60.8530178022,1,0.667362913704,56.5479881858,178,3,0,183.624128697,1.0
36092,-0.0368356608905,1.37863218228,5,0.618533103839,0.01,16,2,3,0.0,1000.0
36087,-0.141631637729,100.0,5,0.0100000006957,86.4216631629,156,2,3,167.392262484,620.820926942
36083,-0.0350249242318,50.3971908988,1,0.748597640177,99.9365621919,44,2,0,184.0,1000.0
36068,-0.0434270593681,71.3342001308,4,0.01,0.01,103,3,3,0.0,174.614744225
36076,-0.116871833365,78.3804518397,5,0.148633116404,96.582373612,121,3,0,0.0,1.0
36064,0.03004430713,100.0,1,0.01,0.01,13,2,3,183.292203027,96.3422072063
36050,-0.0336333034699,48.8872971318,3,0.616076334073,0.01,184,3,0,145.876518019,1000.0
36039,-0.0842219476753,70.0401692754,3,0.925221693435,0.01,183,3,0,183.574942694,1000.0
36037,-0.0336788026886,71.0442613503,3,0.752065723943,0.01,11,3,0,184.0,455.506818123
36021,-0.031181605992,57.3743501128,5,0.696030008671,78.3033711999,9,2,0,139.22524347,127.652774558
36016,-0.0376564775954,50.2086046352,3,0.740402788558,0.0481196610676,6,2,0,31.2613918049,126.708645372
35995,-0.0295821027346,100.0,1,0.702577926337,75.0715058557,12,2,0,183.974802831,1.0
35991,-0.0852332533784,67.2362178167,1,0.237529674447,0.01,12,2,3,183.326134572,21.9741836423
35960,-0.0330955390435,46.0153011941,5,0.71815858909,56.2138208811,178,3,0,165.192818802,14.7743799105
35959,-0.0321594583396,57.4617845723,5,0.630310844258,69.8630237053,135,3,0,0.0,1.0
35928,-0.0362803688982,84.3391174829,1,0.756306003399,56.449623668,2,2,0,0.0,700.223671637
35922,-0.117678038271,92.198069023,5,0.01,82.5899053818,114,3,2,0.0,162.109080867
35893,0.127880633388,99.9647096454,1,0.361231204248,0.01,11,2,3,184.0,95.703184359
35856,-0.133274590948,0.01,1,0.01,100.0,126,3,3,184.0,779.292034344
35889,-0.0320752033329,57.5330028288,1,0.744623987602,63.1850895466,17,3,0,0.0,207.667959127
35855,-0.0695901421191,99.8730642791,1,0.317407885242,0.01,9,2,3,0.0,57.904518303
35886,0.125509340073,99.9607654686,1,0.369637083339,0.01,11,2,3,184.0,97.068584459
35847,-0.133274498959,0.01,1,0.01,100.0,129,3,3,0.0,790.220644431
35812,0.128454238243,99.9473576416,1,0.366093609194,0.01,10,2,3,171.561977653,85.2854943907
35811,-0.035067826906,0.01,1,0.564936876706,100.0,132,2,2,184.0,931.935982953
35808,-0.0268581995202,99.9295045112,1,0.595556255088,0.01,2,3,2,184.0,91.8222654155
35772,-0.0350998890594,0.401356148125,4,0.60280148592,100.0,150,3,0,127.582650725,629.848436801
35767,-0.0327841607843,0.44325849381,3,0.691230166508,8.70540933881,120,3,0,126.8495535,674.883313204
35765,-0.036949812799,2.4670217457,3,0.771948733951,0.01,175,3,0,127.152445639,674.354393236
35732,-0.0316230947412,22.9526875827,5,0.636400326393,43.2890173676,2,3,0,141.023330567,1.0
35727,-0.201044763915,54.9219585136,1,0.01,92.7317933207,184,2,1,0.0,1.0
35722,-0.0475550025599,70.2147352539,1,0.826380043594,0.128068301711,183,3,0,174.164632847,701.619084489
35690,-0.0305731424562,0.01,3,0.637091923265,60.4650846746,96,2,3,149.290009279,765.656159515
35689,0.0678438703563,100.0,1,0.418835193886,0.01,16,2,3,161.718601855,179.550920711
35684,-0.0592143735879,74.6629543316,5,0.835941873712,99.0327601934,87,2,0,174.95760411,1.0
35650,-0.0349963326067,89.3162186379,5,0.580250076462,7.68948207555,170,3,0,79.0584340483,909.33140722
35603,0.130337902643,99.975725963,1,0.359597480053,0.01,11,2,3,160.958507845,95.6015596081
35645,0.0240924381757,100.0,1,0.411860769428,0.01,24,2,2,184.0,72.7674277384
35641,0.0488185243115,100.0,1,0.384425350909,0.01,11,2,3,184.0,65.9807238696
35597,-0.0471127423312,0.01,2,0.8173387288,3.56418761984,5,3,0,184.0,677.434411021
35594,-0.0608381080815,0.01,1,0.870437725643,0.0251111002232,2,3,0,184.0,677.329968602
35559,-0.0361218138921,0.01,1,0.609710910618,100.0,2,2,3,0.0,1.0
35520,-0.0375281959582,100.0,5,0.746510349702,0.01,184,2,0,60.9724508136,912.629783724
35556,-0.0408819552992,77.9080982825,5,0.793936488894,2.68149963559,86,3,0,160.064564421,1.0
35549,-0.0345657455317,65.0041257565,5,0.606350719666,0.152792545716,2,3,0,184.0,677.845509029
35512,-0.0381202765884,14.8383724802,2,0.777560314997,6.08890806642,2,3,0,122.762616329,680.235167016
35507,-0.0395714515679,0.764229585959,5,0.758024117085,5.32503787329,173,2,0,184.0,1000.0
35467,-0.0357618005917,88.2715343825,5,0.73536980088,2.42971966155,2,2,0,174.226483694,780.884571035
35460,-0.0291334429778,0.01,1,0.554214529556,58.5852591729,6,2,2,184.0,659.09836113
35459,-0.0330384488674,89.2867698756,5,0.723085494923,4.03926637037,110,3,0,0.0,905.645511465
35414,-0.234791743036,14.3382467974,5,0.237552567836,69.0475094265,184,2,1,0.0,678.034348364
35419,-0.0520278826336,0.01,1,0.439673434268,51.8941986161,2,2,3,184.0,625.376077432
35411,-0.0954416933311,6.53726831609,5,0.01,100.0,164,2,2,184.0,1000.0
35375,0.0970795999185,100.0,1,0.537036936366,0.01,11,2,3,181.762872854,139.580606563
35371,-0.0386995668047,0.01,5,0.582932495526,71.7475114076,2,2,0,184.0,679.426404781
35368,-0.133542368918,0.01,1,0.01,0.01,2,3,0,184.0,700.1201372
35335,-0.0294821769425,0.01,5,0.651630219253,100.0,164,2,2,0.0,1000.0
35330,-0.131596333634,99.9740366464,1,0.0100185542096,99.9815114381,184,2,3,0.0,783.575740168
35325,-0.13291643613,99.9994713757,1,0.0100004534317,99.9619414659,153,2,3,0.0,115.729954574
35283,-0.0395260822565,8.29370979237,1,0.502809280496,1.76735930214,2,3,0,184.0,685.813453205
35288,-0.0321979394416,4.0646209776,1,0.7041685872,0.01,184,3,0,0.0,995.451295157
35285,-0.033021577661,69.7166908772,5,0.744432970394,2.01156739943,183,3,0,180.03619617,714.5730383
35243,-0.138415006564,0.01,5,0.01,98.0248894001,124,2,3,184.0,777.266020733
35238,-0.14109406818,99.9638445092,5,0.01,92.892144464,180,2,3,0.0,792.886457296
35192,-0.0385851525131,100.0,1,0.502935307551,0.01,2,2,3,84.0516475056,63.6444965455
35235,-0.203207526743,94.4578365402,5,0.01,76.5244021866,123,2,3,0.0,18.1150623691
35197,-0.0451793896933,0.01,1,0.435408268573,70.5618842127,2,3,0,184.0,1000.0
35189,-0.137395585515,0.01,1,0.01,100.0,2,2,3,0.0,1000.0
35152,-0.0376961581158,99.9961405696,1,0.621015075697,0.01,20,2,3,181.614270093,1.11963909974
35146,-0.0468534391881,0.0100148544658,1,0.823709573863,0.01,64,3,0,89.3923713612,1000.0
35143,-3.30369794881,72.1141957429,5,0.639392203655,100.0,2,3,3,141.17981748,1000.0
35107,-0.0549200797258,0.01,5,0.821880204153,0.562298075896,41,2,0,42.928517049,1000.0
35101,-0.111674321835,75.8280546888,5,0.01,0.01,16,2,3,32.6696164177,1000.0
35095,-0.135476199458,0.01,5,0.01,0.261882394275,4,3,0,49.0260018326,1000.0
35053,0.0915557064725,100.0,1,0.504828633987,0.01,14,2,3,157.721492262,163.719529754
35064,0.074542802624,99.86241719,1,0.50378026639,0.01,16,2,3,181.320379569,147.239630616
35057,0.0507282976676,100.0,1,0.476788631681,0.01,15,2,3,109.37681111,180.659145785
35015,0.0937322206978,99.8304367236,1,0.481470467804,0.01,21,2,3,181.540072509,125.678463635
35012,0.0942944289131,99.9024535982,1,0.478671083286,0.01,21,2,3,181.009726931,123.917965112
35009,-0.0104387942538,99.9860434064,4,0.532104184041,0.01,17,2,3,165.086008366,117.757507466
34974,0.0697957961794,100.0,1,0.510065048896,0.01,6,2,3,181.251239875,120.942640523
34930,0.102375851255,100.0,1,0.475833444867,0.01,14,2,3,184.0,133.710065676
34970,0.0682148691458,100.0,1,0.511763514205,0.01,6,2,3,181.494355504,120.643582408
34962,-0.0274378788035,99.8797701377,1,0.543916649508,0.01,3,2,3,181.503857055,112.515699919
34924,0.110511934851,71.0029369633,1,0.527297228561,0.01,10,2,3,179.339526583,129.01975075
34920,0.121554007243,100.0,1,0.473889598054,0.01,9,2,3,181.580661258,139.667162475
34885,0.107401900707,62.2890209662,1,0.586952745975,0.01,8,2,3,149.592434975,102.970378307
34841,-0.135141285248,0.01,1,0.01,0.01,2,2,3,0.0,747.975993964
34880,-0.033992757502,0.01,1,0.602786839726,0.662699742245,184,3,0,0.0,424.965387465
34875,-0.0319703283861,0.01,1,0.723164040289,0.245564325903,184,3,0,37.7434997628,215.800756256
34837,-0.131917199986,61.4193849774,1,0.0110471211345,0.01,2,2,3,0.0,864.715310083
34833,-0.0867033462472,45.0286375972,5,0.304464632673,0.01,2,2,3,0.0,1000.0
34799,0.0980460236291,42.5877400416,1,0.493323364411,0.01,27,2,3,176.995646652,97.2849100851
34794,0.0239495624235,8.45656247723,1,0.553149881357,0.01,11,2,3,182.376498166,111.733893598
34789,-0.0347993633937,0.01,1,0.7471361696,0.01,2,2,3,180.52399375,57.5572166406
34741,-0.0358050200237,24.937099184,3,0.728739602919,0.01,2,2,0,184.0,1.0
34752,-0.0346353718922,48.0383668164,1,0.608294579452,0.01,2,2,0,182.828418945,61.8777085036
34748,-0.0299862022184,88.3890708819,1,0.707385002599,0.01,2,2,0,184.0,1.0
34709,0.0812151238324,35.0555530381,1,0.464485812088,0.01,130,2,3,184.0,127.569086088
34702,0.119160742854,49.6172177877,1,0.431393699427,0.01,8,2,3,175.194905328,141.057628657
34697,0.0711000467156,29.3218731266,1,0.512429362656,0.01,180,2,3,180.070930186,128.741565116
34675,0.0651762137931,100.0,1,0.401970683511,0.01,172,2,3,182.00631922,139.109110808
34668,-0.0304520911526,0.01,1,0.712435527421,99.3591949463,107,2,0,137.242098695,1000.0
34663,0.0716303411943,25.246958115,1,0.420152558722,0.01,184,2,3,179.359159045,135.537268221
34636,-0.0390654697856,91.9361642665,3,0.514004484781,0.01,2,3,1,48.4124364566,855.597370933
34630,-0.1906613662,99.8410072651,4,1.1066735873,0.01,2,3,0,0.0,1000.0
34624,-0.0291768762106,12.4605951805,5,0.656251572131,0.0781334273597,2,2,0,0.0,737.854226618
34581,-0.0377789141189,92.6936104267,5,0.523326374604,70.2098591525,2,3,0,0.0,1.0
34595,-0.0497205484619,90.4782114183,5,0.830178286906,70.0097186287,151,3,0,19.0518677424,94.4115444779
34590,0.0767734436585,38.4517048155,1,0.458035168089,0.01,184,2,3,174.635482789,133.292239773
34552,0.0457442688099,37.6003143928,1,0.589649465425,0.01,184,2,3,184.0,155.208768681
34550,-0.0386026106179,0.01,5,0.59087887761,50.0950129747,138,2,0,171.284237874,1.0
34542,-0.0330876234615,66.7490163271,1,0.610972865658,65.6657328553,4,3,0,26.0390996226,208.167423348
34514,0.070069747098,57.2293297025,1,0.469357961323,0.01,184,2,3,184.0,153.182196737
34509,0.00743760316674,79.7403334365,1,0.440063802296,0.01,184,2,3,181.301087105,278.480380171
34505,-0.00260937249055,71.8142333482,1,0.402081708175,0.01,184,2,3,184.0,732.976902013
34469,-0.0321128455601,0.01,1,0.711055674612,86.047199206,140,3,3,12.9046262519,968.43572028
34465,-0.0309164470738,94.0601810697,5,0.638532476604,75.6283488435,184,2,0,0.0,52.1126148027
34461,0.0521122000436,100.0,1,0.407938654276,0.01,179,3,3,184.0,210.397315806
34424,-0.0334168382764,0.01,1,0.607936481059,0.586328271955,184,3,0,183.588702822,1000.0
34421,-0.0318348680032,8.36606165977,4,0.679117572566,0.0662454274108,55,3,0,41.9051736165,1000.0
34418,-0.137443947364,0.01,5,0.01,0.1847503598,38,3,3,0.0,1000.0
34366,-0.135476199458,100.0,5,0.01,0.01,2,3,0,125.232405919,1.0
34362,-0.0331671782591,48.625743131,5,0.750623615776,0.01,2,3,0,96.4534869014,232.92719018
34356,-0.0331217889373,0.01,1,0.756682081373,7.15098139324,71,3,0,46.1690964223,1.0
34324,0.0435435644781,50.0678495535,1,0.356520072935,0.01,184,2,3,110.101657784,166.75284188
34320,-0.0320198531783,100.0,1,0.739970854304,78.1302924529,2,3,0,184.0,999.999983466
34314,0.0206023867043,15.9371827281,1,0.393499232208,0.01,184,2,3,70.6137904578,198.442891722
