

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3497,17815,True,100.0,-100.0,R2,None,linear,1,float,Reals
3497,17806,False,100.0,0.01,C,None,linear,1,float,Reals
3497,17810,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3497,17809,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3497,17814,False,100.0,0.01,gamma,None,linear,1,float,Reals
3497,17812,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3497,17813,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3497,17811,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3497,17808,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3497,17807,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
35809,0.0719730721111,100.0,1,0.01,0.01,184,3,1,17.8676516966,1000.0
35807,0.0719900472222,100.0,1,0.01,0.01,184,3,1,17.1892251272,1000.0
35775,0.0719638614634,100.0,1,0.01,0.01,184,3,1,20.2767574919,999.763124051
35770,0.0719660074459,100.0,1,0.01,0.01,184,3,1,20.0563914646,1000.0
35734,0.0719852090227,100.0,1,0.01,0.01,184,3,1,28.8371467341,999.453868456
35731,0.0719744058852,100.0,1,0.01,0.01,184,3,1,29.2148264426,1000.0
35698,0.071935401947,100.0,1,0.01,0.01,184,3,1,7.4570098596,999.526464044
35696,0.070910495605,100.0,1,0.039353428837,0.01,184,3,1,6.66877162052,999.669603612
35673,0.0719525563328,100.0,1,0.01,0.01,184,3,1,16.0213056624,999.679910918
35669,0.0712552463145,100.0,1,0.0256003161614,0.01,184,3,1,0.147615085026,1000.0
35639,0.0719805052731,100.0,1,0.01,0.01,184,3,1,48.7246556012,999.058608832
35637,0.0719884158378,100.0,1,0.01,0.01,184,3,1,49.8488788354,1000.0
35602,0.0719123706844,100.0,1,0.01,0.01,184,3,1,0.0646927990915,999.625316812
35598,-0.284203548598,0.01,1,6.95239859057,0.01,39,2,0,184.0,1.0
35568,-0.293916002369,0.01,1,7.02164448761,100.0,57,3,3,184.0,1.0
35563,-1.14073557661,100.0,1,11.374149615,100.0,15,3,3,184.0,1.0
35534,0.0719750368712,100.0,1,0.01,0.01,184,3,1,21.0291008054,997.590492317
