

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3503,17869,True,100.0,-100.0,R2,None,linear,1,float,Reals
3503,17860,False,100.0,0.01,C,None,linear,1,float,Reals
3503,17864,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3503,17863,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3503,17868,False,100.0,0.01,gamma,None,linear,1,float,Reals
3503,17866,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3503,17867,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3503,17865,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3503,17862,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3503,17861,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
36350,-0.037150242109,0.01,2,8.4876168535,0.01,16,3,0,154.580704922,383.282629176
36348,-0.0371514952083,0.01,3,8.58012908792,0.01,2,3,0,184.0,516.639110867
36347,-0.0370125886181,0.01,4,8.52149798727,100.0,168,3,0,0.0,221.921219821
36346,-0.0382130165604,0.01,3,9.18684205416,0.01,81,3,0,152.999048593,383.581774164
36345,-0.0640965810416,8.24786038454,4,7.02943114175,100.0,161,3,3,0.0,150.510142685
36344,-0.045433141371,0.01,5,8.76774562051,99.0621538206,184,3,0,174.524580325,746.151929166
36343,-0.0455715125813,0.01,5,9.50093150734,0.01,154,3,2,184.0,1000.0
36342,-0.0294757267874,0.01,5,8.02709162089,22.011906161,184,2,3,184.0,54.6662316277
36341,-0.0328573579511,0.01,5,8.87261776202,25.0660313948,149,2,0,184.0,1.0
36340,-0.0288393861151,0.01,5,8.52920920393,1.0421369675,149,2,0,184.0,1.99915999694
36339,-0.0341395566265,0.01,4,8.16672298344,9.39449597559,2,2,0,184.0,831.083490988
36338,-0.0286031736794,0.01,5,8.54423985414,0.01,149,2,0,183.61524306,1.0
36337,-0.0389939368504,0.01,1,8.70186823537,84.1244011879,155,3,0,0.0,370.377578807
36336,-0.0337982926054,0.01,3,8.41331222874,1.10529555782,140,2,3,153.343859758,1.00107966144
36335,-0.038727597244,0.01,3,8.37699466666,14.8671458014,147,3,0,184.0,295.620980236
36334,-0.0291272626325,0.01,5,8.51502768394,0.831666006287,146,2,0,147.44811175,1.0
36333,-0.0377934967431,0.01,1,8.41870074385,86.2523978854,147,3,0,0.0,538.743710269
36332,-0.0354042905785,0.01,2,8.94570206342,0.77514829547,136,2,0,175.108849334,953.986268185
36331,-0.0337743927139,0.01,1,8.40952600734,100.0,66,2,0,184.0,1000.0
36330,-0.0377622539648,0.01,1,8.42210577436,92.1695960385,145,3,0,184.0,664.315919929
36329,-0.0324053027259,0.01,1,7.90376262124,11.4989047761,145,2,1,184.0,310.580218684
36328,-0.0337236376614,0.01,1,8.24457841259,72.1513316713,8,2,0,0.0,1000.0
36327,-0.0296155276416,0.01,5,7.97073642541,87.0541025366,184,2,3,0.0,38.6540414903
36326,-0.0381938499682,0.01,1,7.43080830942,88.3478637492,184,2,3,0.0,190.355770138
36325,-0.0332647878778,0.01,1,8.43779441059,66.647285311,4,2,0,105.696480565,1000.0
36324,-0.0341262767754,0.01,4,8.172214099,0.01,161,2,3,155.104324168,32.8102297587
36323,-0.030073503483,0.01,5,7.86573145298,100.0,184,2,3,184.0,1000.0
36322,-0.034035761782,0.0300214312958,4,8.23166141196,0.01,88,2,0,137.895045555,909.452625458
36321,-0.0382097646529,0.01,1,8.13988715076,100.0,173,3,0,184.0,1.18047200267
36320,-0.130191840069,95.0512413763,5,0.01,0.01,2,2,0,0.0,1000.0
36319,-0.0320872579106,0.01,5,8.38141425623,100.0,134,2,0,184.0,997.496006652
36318,-0.0334416326917,0.01,1,8.15621378098,0.01,45,2,3,62.3849474276,1.0
36317,-0.0329497810964,0.01,4,8.42667116673,0.01,2,2,0,82.4961877596,1000.0
36316,-0.130191840069,100.0,5,0.01,100.0,184,2,0,184.0,1000.0
36315,-0.0293854419579,0.01,5,8.07060418828,100.0,160,2,3,99.7741671472,1.0
36314,-0.0326877823439,0.01,5,7.75497880554,100.0,165,2,0,184.0,1000.0
36313,-0.0322056264518,0.01,5,8.27394027933,7.57861410174,63,2,3,8.84345408515,1.0
