

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3491,17755,True,100.0,-100.0,R2,None,linear,1,float,Reals
3491,17746,False,100.0,0.01,C,None,linear,1,float,Reals
3491,17750,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3491,17749,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3491,17754,False,100.0,0.01,gamma,None,linear,1,float,Reals
3491,17752,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3491,17753,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3491,17751,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3491,17748,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3491,17747,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
36261,None,100.0,1,0.01,0.0275102157089,184,3,3,184.0,82.6331426944
36242,None,100.0,1,0.01,0.0329757360093,184,3,3,184.0,86.4249036553
36230,0.347118764065,59.2151949155,1,0.01,0.0826478814762,2,2,3,0.0,139.61329187
36210,-0.557897260084,100.0,5,7.7210098326,93.9975586894,2,3,3,0.0,676.904723876
36180,-0.192641128154,0.01,1,5.0658897711,99.0668829166,2,3,3,184.0,747.654468653
36124,0.550286090833,100.0,1,0.01,0.0360138280831,184,3,3,184.0,81.4828554784
36119,0.0325272737284,100.0,5,5.80171312263,77.6336078164,184,2,2,54.6469619178,1.0
36114,0.444636243104,100.0,1,2.0894484333,0.170856913228,139,3,3,181.906081818,190.37819019
36109,-0.780522360825,0.01,5,72.1447118598,2.67908505667,184,2,0,0.0,62.2712026551
36105,-0.099581078113,0.01,5,2.90308286059,6.16290134555,176,2,3,0.0,56.7168509034
36100,nan,100.0,5,6.07515843241,81.2033354026,165,2,3,0.0,1.02939820031
36095,-0.750635957939,0.01,5,10.2247020159,0.01,162,3,0,0.0,1.0
36080,-0.20109347616,0.01,2,4.47607474878,0.01,173,3,0,0.0,1.0
36088,-0.243625843698,52.2896227709,5,5.90349669591,7.56837284716,2,3,3,0.0,36.8831894464
36071,0.387983219554,3.07491320906,1,2.98576848531,11.0484820985,2,2,3,0.0,50.8641823026
36067,-0.197680900108,3.77554752712,5,4.93491513631,0.01,86,3,3,0.0,5.85810126636
36063,-0.750635957939,100.0,5,93.3869585779,0.750723286634,184,3,0,0.0,987.073486328
36056,-0.162100567382,100.0,5,0.01,0.01,134,2,3,0.0,1.0
36052,-0.164973587387,100.0,5,0.01,2.38608721301,184,2,0,184.0,584.846474916
36043,-0.545073048207,100.0,1,7.91719771038,0.01,2,2,3,184.0,996.951293945
36030,-0.148343415373,0.01,5,0.01,9.41299454436,184,3,0,184.0,1.0
36025,0.180134822586,100.0,5,2.71725859957,0.01,184,3,3,184.0,92.6176061915
36008,0.548092549515,100.0,1,0.505907541601,0.038904826197,184,3,3,184.0,83.6808973455
35993,-0.242109467514,100.0,5,5.93513640779,3.97479786391,180,2,0,0.0166429097929,1.0
35989,-0.101854118137,100.0,5,3.18378543797,16.2981883423,2,2,0,0.0,1.0
35971,-0.0956387589775,100.0,5,2.6693661949,1.56048144223,2,2,0,0.0,1.0
35964,-0.145028030464,1.27784631616,1,0.01,96.4223002474,2,3,0,0.0,50.407859944
35947,-0.0829624317951,0.01,5,1.75627164073,98.725712732,152,2,0,0.0,1.0
35937,0.4683670278,100.0,1,1.66770904716,0.01,19,3,3,0.0,966.586180282
35918,0.267325485832,100.0,2,2.31904293853,0.150549765277,181,2,3,0.0,680.967154154
35915,-0.0881919734279,0.01,5,1.52861540515,9.54348037476,106,3,2,9.52740431111,1.0
35888,nan,100.0,5,59.2259092733,100.0,172,2,3,0.0,1.0
35887,-0.148343415373,0.01,5,0.01,0.01,184,3,0,184.0,1.0
35859,-0.0330896806182,100.0,1,2.55612506202,6.22550339495,184,2,3,0.0,1000.0
35852,0.065332400061,44.0300126347,5,1.16456331038,12.6376135712,153,3,3,0.0,56.4569487647
35833,-0.112707592372,100.0,5,0.01,15.6194321127,137,3,2,0.0,18.382503218
35828,0.270621444125,99.9998928949,5,0.01,0.01,172,2,3,0.0,682.532671051
35802,-0.167994825203,0.01,1,0.01,7.2082373879,184,2,3,184.0,675.996896762
35797,nan,0.01,1,2.14075416538,0.01,184,2,3,0.0,1.0
35768,0.168419141343,100.0,1,0.01,11.1327717207,130,2,3,0.0,10.8435442601
35763,nan,100.0,5,0.01,15.3217695309,166,3,3,0.0,1.0
35740,-0.145028030464,100.0,1,0.01,9.54782059526,184,3,0,0.0,62.9736979885
35738,0.549029195845,100.0,1,0.656818748412,0.0398130392384,184,3,3,184.0,84.6769674635
35713,0.374107387805,18.9087581702,1,1.85688319145,0.559876075818,184,2,3,184.0,1000.0
35710,0.546964946264,100.0,1,0.709244193719,0.041898188943,184,3,3,184.0,85.6719265259
35681,-0.142168032233,0.01,1,0.01,91.9780568165,135,3,3,0.0,1.0
35676,-0.272606337576,0.01,5,6.22131357211,99.9629469023,184,3,0,0.0,770.164072639
35648,-0.52079528679,0.01,5,7.20992199681,2.87090733067,2,2,3,184.0,663.997085623
35643,0.18609122385,51.7682834636,1,0.733516550802,2.33698330073,12,3,3,56.4874789829,478.958726631
35586,-0.0795473427105,78.9905506594,5,2.20361282118,99.9490044508,2,3,0,0.0,27.259687153
35617,0.320619522659,100.0,1,0.811759041444,2.11235769493,184,2,3,0.0,1000.0
35611,-0.142420808448,98.7438453325,5,3.55575644408,94.6242088494,184,3,0,0.0,1000.0
35582,-0.0806947536162,0.01,5,2.23003810505,78.0671917101,184,3,3,184.0,130.074448906
35553,-0.593844725845,59.3236515465,5,0.798038930522,6.02634761551,2,3,3,184.0,155.494284583
35548,0.283630508459,100.0,1,0.436191241933,8.13514812319,57,3,3,99.7565013056,100.835988809
35524,0.43924301498,100.0,1,0.555228669722,2.71793278713,2,3,3,46.3967470016,174.635413885
35515,0.395525162209,95.2634452401,1,0.01,4.94671926644,2,3,3,184.0,188.979691771
35493,0.431964518027,9.34155678292,1,0.395942319953,1.85141230694,2,3,3,25.4275091493,734.939370598
35485,-0.0955705085823,0.01,1,1.53771310488,21.9094939673,184,3,0,88.5380121963,32.429465613
35457,-0.0959218260542,0.01,1,2.74039603897,5.99309583616,2,3,1,0.0,1.0
35454,-0.758192464201,100.0,1,83.3674847424,3.02765475122,2,3,3,0.0,43.3659665903
35428,0.345072842636,100.0,1,2.20251070325,20.6608219429,2,3,3,0.0,52.5188685167
35424,-0.780522360825,0.01,5,64.8494696416,2.93507199645,2,2,3,184.0,1.0
35395,-0.572942171776,100.0,1,7.5923456316,2.40899172758,184,3,3,184.0,878.855712153
35388,-0.758192464201,0.01,1,100.0,1.49012626252,2,3,3,181.648553916,841.887160458
35364,-0.758605210018,0.01,1,100.0,0.01,183,2,0,0.0,1.0
35355,0.440312153612,100.0,1,0.01,2.71901518095,2,3,3,93.6964266704,756.717511803
35331,0.383980696834,100.0,1,0.01,0.151252286882,2,3,3,184.0,1000.0
35323,0.331415905191,100.0,1,1.96870511088,7.33860241124,2,3,3,184.0,820.997162825
35297,nan,0.01,5,100.0,0.01,153,2,3,184.0,1.0
35290,0.256593706159,100.0,1,1.24058754392,10.2117453966,184,3,3,0.0,66.8602514916
35264,0.188401837697,67.6136759257,1,0.270165936089,16.344116801,184,2,3,0.0,32.8122306371
35262,0.407170974867,54.0797368256,1,0.75597963263,5.78605255159,2,3,3,0.0,772.413141514
35236,0.0548315423415,0.0240663984948,1,1.91825076813,8.01754790875,2,3,3,0.0,684.939222174
35230,-0.117899876367,100.0,5,1.23715686284,9.58962857943,2,3,0,0.0,60.0003262354
35172,-0.0938564868591,100.0,1,0.28623689589,77.3378980964,152,3,3,0.0,45.8110544587
35208,0.338446517606,100.0,1,2.01937658504,7.24780012449,2,2,3,0.0,83.0383232548
35204,-0.163124094488,100.0,1,3.89236628261,2.18643024444,2,3,0,0.0,759.755355705
35168,0.547218744055,100.0,1,0.54415231397,0.0457102311721,184,3,3,184.0,81.6252278943
35141,-0.0784244544116,0.01,1,1.46743327662,90.1386912501,2,2,3,0.0,25.3791834766
35135,0.395281262094,17.0322726748,1,0.677884359422,11.6074150456,2,3,3,0.0,69.5033318494
35077,0.235329010274,100.0,1,5.48959638024,4.1196764108,2,3,3,0.0,1000.0
35111,0.314391265842,100.0,1,0.01,9.11117014044,2,3,3,0.0,60.1460669927
35106,-0.144346421801,0.01,1,0.01,8.07255670014,2,3,3,184.0,73.8591674648
35072,0.365057651379,100.0,1,1.0505798845,9.24330378274,2,3,3,0.0,43.9636067138
35045,-0.404628294335,100.0,1,2.02369548727,4.70757413943,184,3,3,184.0,28.2622240703
35041,0.315173234591,100.0,1,3.32635430946,0.700958701648,184,3,3,0.0,879.087632943
35016,0.379265142738,91.5578673416,1,0.582874330603,5.22670278428,2,3,3,184.0,87.2237962824
35010,0.236818850423,21.9764005031,1,1.07532919857,6.08363264938,184,3,3,9.78374763468,149.585043935
34987,0.269693979909,100.0,1,0.685812138593,6.84305902393,184,2,3,0.0,75.6711941561
34979,0.449132239016,100.0,1,0.01,0.01,182,2,3,0.0,80.7028950827
34952,-0.11084170491,100.0,1,0.01,1.04542324632,184,3,3,184.0,39.5778164969
34948,0.544237304667,100.0,1,0.633973923844,0.0226002061302,184,3,3,184.0,85.1766186298
34926,0.54412014597,100.0,1,0.637674239596,0.0225062954656,184,3,3,184.0,85.0778106302
34918,0.545063638533,100.0,1,0.596582050181,0.0229783769371,184,3,3,184.0,86.5446854539
34893,0.546316511225,100.0,1,0.519625421797,0.0271671606533,184,3,3,184.0,79.8919032969
34889,0.545323510044,100.0,1,0.622863297219,0.0235235893288,184,3,3,184.0,84.7913678604
34836,0.145430631032,100.0,5,2.08121137625,2.8373239773,184,3,3,0.0836866816224,878.906852357
34865,0.451304944369,98.3909534349,2,0.625787407104,0.0112059400474,184,3,3,67.4352755178,735.979184697
34831,0.298014178411,100.0,1,0.01,12.0400647658,184,3,3,184.0,78.941084441
34861,-0.17026796455,0.01,1,0.01,2.93665727006,184,2,0,0.0,1.0
34807,0.241235314112,100.0,1,0.01,6.10103306569,184,3,3,0.0,34.6351921119
34801,0.376971950589,100.0,1,0.01,0.0957153855408,184,3,3,47.7213304271,85.8267917963
34774,0.092405559613,100.0,4,0.01,5.53226078519,184,3,3,19.8454321548,60.1458233766
34768,0.326248599051,6.38532045684,1,4.13975748236,1.37166913559,2,3,3,0.0,603.650128871
34745,0.543249431575,100.0,1,0.975363517885,0.0369019417191,184,3,3,184.0,83.7981313839
34734,0.54806718444,100.0,1,0.638619317417,0.0275801148551,184,3,3,184.0,84.2346172774
