

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3490,17745,True,100.0,-100.0,R2,None,linear,1,float,Reals
3490,17736,False,100.0,0.01,C,None,linear,1,float,Reals
3490,17740,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3490,17739,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3490,17744,False,100.0,0.01,gamma,None,linear,1,float,Reals
3490,17742,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3490,17743,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3490,17741,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3490,17738,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3490,17737,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
36254,None,95.0080606496,5,0.01,0.851595275152,2,2,3,0.0,164.074036793
36235,0.510439160831,9.36980635364,5,0.865155804166,10.5032352553,2,2,2,0.0,72.9782150784
36197,0.662659281132,27.5742998589,5,0.3078003468,2.89991543512,2,2,3,0.0,83.4371442354
36170,0.682778057867,5.10192764751,1,1.08819035893,0.429635965837,167,2,2,86.9985740779,80.8468235671
36149,0.6083766187,100.0,1,0.01,1.44492623434,2,3,3,184.0,824.896987303
36122,0.504814717001,99.8535302734,2,0.338768013531,2.02446095196,68,3,2,138.356382586,102.123492444
36120,0.745070149999,87.0566858618,1,0.308348416337,2.32202310683,184,2,2,184.0,1000.0
36116,-0.0616835891752,69.9045616695,5,98.7893626784,14.5819752266,2,2,3,184.0,1.0
36110,0.784266267689,10.2965804412,1,0.329918225836,1.75561475971,90,3,2,184.0,1000.0
36106,0.71645733655,99.8530173164,1,0.01,2.54703030851,46,3,2,112.261426774,723.021505512
36101,0.710101099787,78.5369176638,5,1.530317756,18.3987202888,2,2,2,99.3516220618,192.184229583
36097,0.558837803068,99.1434195425,1,2.83246868238,11.0232382352,2,2,2,149.496138688,260.310129232
36091,0.723268630358,5.34192406978,1,0.597559613808,2.45184270119,2,2,2,183.997509849,631.151523776
36085,0.679537644688,100.0,1,0.01,0.01,67,3,2,184.0,881.569789582
36078,-0.0396769646805,87.4190129892,1,100.0,16.2877730315,184,3,0,184.0,883.37182615
36074,0.708852951123,97.6578059996,1,1.87163251183,17.8184774096,2,2,2,0.0719347644556,140.561589258
36065,-0.0169614614652,0.01,1,1.92184416734,15.7300817874,184,2,3,62.3673519057,838.328280143
36048,-0.0616835891752,85.4434609374,5,94.3731283499,3.36542651947,2,2,0,184.0,99.4249063563
36034,0.744286692371,99.8535302734,1,1.07171133431,1.64489675373,52,2,2,112.838604268,157.647340873
36012,0.757518517962,78.5896533875,1,0.607812184741,2.17278111445,49,2,2,184.0,944.536377723
35992,0.692157452852,7.10536111402,3,0.377386954257,2.00469563929,136,2,2,183.916191609,135.322357224
35939,-0.0440714640294,0.01,1,93.8238598915,2.19477943213,2,2,2,44.4111756587,102.810116971
35967,0.722704191107,93.9335043692,5,0.494279023678,21.2920152018,2,2,2,132.886311825,128.092465748
35930,0.623117696407,5.76646351488,5,1.2746606154,18.8957001678,2,2,3,51.2030002878,124.154011037
35910,-0.0440714640294,0.01,1,91.0346638694,11.9389342713,2,2,3,184.0,251.242335981
35906,0.802094328397,8.82095790676,1,0.652890581083,2.11325217091,39,2,2,64.2748873188,120.229886935
35880,0.766608624012,7.23289656083,1,0.01,2.19516683361,55,2,2,54.7697944946,186.560993456
35875,0.722669219801,62.3307976581,1,0.123153002115,4.28253830095,45,3,2,164.082843859,868.301967602
