

experiment,id,isOutput,max,min,name,options,scale,size,type,units
4252,21021,True,100.0,-100.0,AUC,None,linear,1,float,Reals
4252,21013,False,100.0,0.01,C,None,linear,1,float,Reals
4252,21016,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
4252,21019,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
4252,21020,False,3.0,2.0,nphase,None,linear,1,integer,Integers
4252,21017,False,None,None,penalty,[u'l1', u'l2'],linear,1,enum,
4252,21018,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
4252,21015,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
4252,21014,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,AUC,C,centrifugation_time,n_dimensions,nphase,penalty,reduc_method,softwindow_mean,softwindow_variance
62928,0.5,0.01,1,165,3,l1,0,20.7233678708,2.29117567635
62871,0.5,0.01,1,2,3,l1,0,145.946859193,1.67529780961
62818,0.915285069024,7.07237294913,1,183,3,l2,1,0.0,723.18750515
62708,0.800868973942,100.0,1,184,2,l1,1,149.816134165,118.73269103
62766,0.903783482917,2.19447773097,3,2,2,l2,1,10.2087611701,825.358142818
62719,0.899538168783,0.0100476189194,5,126,2,l2,3,6.43054906947e-06,495.70156588
62663,0.841916866717,0.0100011320961,1,102,2,l2,1,23.1753043253,8.69936509618
62652,0.90840132143,22.2995549617,1,139,2,l1,3,4.69885919058,7.03297255664
62607,0.926558807537,4.72617538975,1,7,2,l2,3,27.9858604853,8.04207442237
62596,0.898188197698,0.875139142328,5,51,2,l2,1,29.5077160364,19.441168752
62554,0.857585066985,100.0,5,77,2,l2,1,0.0,23.4460450863
62546,0.618659216642,68.3924389164,5,4,2,l2,1,0.0,3.93032297846
62505,0.628669362959,5.89396416355,5,115,2,l2,1,0.0,4.06301928019
62495,0.846249655469,22.1752349105,5,115,2,l2,1,94.9235842099,3.47865887372
62455,0.71648977757,15.3204165527,5,3,3,l2,1,157.594517896,79.5356609594
62448,0.809558090176,94.7899451277,5,104,2,l2,1,99.5675175644,3.6134891558
62407,0.783729023646,34.0274512007,1,71,3,l1,1,104.481875412,7.57270820413
62396,0.5,59.4586010056,3,179,2,l1,0,49.9320822216,1.0
62359,0.819822950474,99.8905311296,1,172,3,l1,3,0.677118441462,4.93681958041
62303,0.682543994139,16.6944931637,1,184,2,l2,1,0.0,2.6487857629
62352,0.5,87.3784788504,5,179,2,l2,0,31.1863519235,9.45949967342
62308,0.917477960228,93.8510967778,5,179,2,l2,1,45.9062768219,5.00305847645
62259,0.748133921761,23.4384035498,3,2,2,l2,1,0.0,6.77084099735
62250,0.79729483088,89.6770293734,1,150,3,l1,1,3.84621415847,1.0
62199,0.869299198397,0.0100019751091,1,153,2,l2,1,87.722754528,3.33316771046
62193,0.902564758105,62.2376810412,5,138,2,l2,1,34.5347935496,4.58253085103
62157,0.884829511038,8.63852864772,1,2,3,l2,3,52.830147636,19.9514854396
62149,0.5,100.0,1,137,2,l2,0,9.65690528755e-06,1.0
62108,0.5,82.5830178739,2,47,3,l2,0,0.0,1000.0
62098,0.5,55.5517289935,1,161,2,l2,0,73.9440931195,1.0
62057,0.930486803856,2.47248847755,1,170,2,l2,3,52.2804170204,20.1346001362
62051,0.87692671176,11.0497993675,5,148,2,l2,1,83.4286470575,10.4082059888
62017,0.946457248994,47.352930377,1,149,3,l1,3,48.5101398692,5.95025445715
61973,0.908099024157,86.9588094975,1,158,3,l2,1,56.6127823955,1.0
61972,0.5,56.132028031,5,149,2,l1,0,74.7421063754,24.6204889436
61970,0.836126766672,29.7281939198,1,2,2,l1,2,0.0,6.63266839605
61694,0.844283683861,41.1622318999,4,154,2,l2,3,60.8534213031,1.0
61686,0.5,0.01,5,2,2,l1,3,184.0,821.502295253
61651,0.933695776001,2.16589226766,3,113,2,l2,3,164.520250019,697.974987698
61646,0.918884166939,0.01,3,15,2,l2,3,184.0,655.148301658
61609,0.856025728022,44.59610804,4,124,2,l1,1,170.664813708,667.681299163
61602,0.900469436281,44.4504563049,5,155,2,l2,3,38.8019965643,48.903130366
61567,0.912519822696,24.5517294716,1,2,2,l2,3,184.0,146.231427482
61558,0.914537138749,35.0125763628,5,140,2,l2,1,35.7533260122,17.3135303054
61521,0.908883130229,1.42582942404,5,147,2,l2,1,39.2702299317,7.87750603841
61514,0.852904642343,44.5246460713,1,140,3,l1,1,68.2928779947,34.7628546533
61477,0.922717910105,34.5518291667,5,136,2,l2,1,49.0277458584,12.2250955845
61467,0.892326612345,43.6009247364,5,139,2,l2,1,99.1567630282,94.8085469422
61431,0.863035891003,53.9459310421,1,128,3,l1,1,26.5848342329,7.1715400041
61423,0.816855400194,18.2990835136,5,2,3,l2,3,60.0185003598,44.2310917187
61387,0.786216128646,0.398395934308,5,2,2,l2,3,0.0,41.5470528233
61376,0.912020030807,18.0473091027,5,155,2,l2,1,51.5680182117,41.1528616452
61336,0.90610865421,3.59353798605,1,154,3,l1,3,34.3500013748,6.19252873588
61329,0.823416944963,46.2321964147,5,157,2,l1,3,61.6286670339,5.89064254835
61290,0.929211621561,43.6947065463,1,141,3,l1,3,49.994764358,5.87285239773
61280,0.884033152229,42.1888467312,1,142,2,l2,1,52.4517225646,68.5127039039
61245,0.902790218987,0.558915802035,1,138,2,l2,1,184.0,855.939465074
61235,0.791756878334,0.0122579044663,5,61,3,l2,1,183.817490588,732.891562837
61199,0.901636722461,7.10011494047,1,2,2,l2,1,149.345198048,709.599165507
61190,0.902988451104,0.0109598943041,2,3,2,l2,1,179.704625012,609.33175082
61159,0.893956104562,0.01,5,2,2,l2,1,176.837464792,478.331503354
61150,0.881357841587,63.1279447729,2,148,2,l1,1,158.395814174,746.795717158
61117,0.875721558487,2.94545410996,5,158,2,l1,1,50.2191969796,706.258737044
61109,0.948458249681,34.2538752448,1,133,2,l2,3,48.0353169069,45.9819490554
61066,0.5,0.01,2,110,2,l2,0,48.1495870361,662.734250072
61059,0.5,0.011942970185,5,66,2,l2,0,184.0,923.927569933
61025,0.890687658867,0.0100000000013,5,69,2,l2,1,184.0,915.530435249
61017,0.911246094866,19.2114283739,5,155,2,l2,3,50.4640390596,5.3045695521
60986,0.911207919317,0.392494780163,5,74,2,l2,3,27.0034432872,71.8029147323
60977,0.886511617741,16.202238606,5,3,2,l2,3,61.1175100017,14.2753943803
60946,0.896740486972,75.9566931093,5,2,2,l2,3,101.508294984,17.7761811619
60939,0.910661645633,2.909435857,5,154,2,l2,3,32.4052134517,8.27216102095
60906,0.926609254336,54.9449411623,5,56,2,l2,3,26.3688664596,10.4875022773
60897,0.918088458527,3.35128196502,5,119,2,l2,3,27.1142113044,16.6386591437
60867,0.5,0.01,5,89,2,l1,3,34.6656945189,21.8523901279
60856,0.885490277983,50.2213762234,5,125,2,l2,3,63.4112937668,46.9315246628
60825,0.731697678884,0.01,5,2,3,l2,3,0.574060423499,9.32912193946
60818,0.637291638623,48.1374368251,5,138,2,l2,3,183.915220681,17.1433717175
60787,0.907066398101,0.01,5,2,2,l2,3,53.7224108936,19.7197530179
60778,0.899827520634,0.01,5,107,2,l2,3,34.4946571785,633.878517672
60747,0.896060598311,0.0100000003236,5,148,2,l2,3,55.2237108656,8.53114666551
60737,0.921478576334,50.2890080814,5,135,2,l2,3,30.8197643936,27.9993204918
60705,0.818307345027,36.3894334598,5,2,2,l2,3,21.2176959048,18.2234352467
60698,0.922698298745,24.2145159183,5,144,2,l2,3,32.8730455006,8.44861681449
60669,0.907189799547,15.7031987893,5,2,2,l2,3,30.5579708031,15.7273024245
60659,0.887167320613,0.01,1,149,2,l2,1,184.0,735.581333539
60628,0.947265548038,20.7096372795,1,141,2,l2,3,50.4663605381,55.1098002045
60621,0.828499522714,9.82888851063,5,137,3,l2,3,179.2161042,215.668920989
60592,0.791473986143,0.01,5,145,3,l2,1,59.237430753,434.979230558
60582,0.912426118267,8.3461383547,5,158,2,l2,3,184.0,117.59511704
60551,0.940409409696,12.219878252,1,155,3,l2,3,157.848867685,652.362619906
60542,0.942733659467,16.529264846,1,156,2,l2,3,67.6027502662,91.3380208041
