

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3487,17715,True,100.0,-100.0,R2,None,linear,1,float,Reals
3487,17706,False,100.0,0.01,C,None,linear,1,float,Reals
3487,17710,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3487,17709,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3487,17714,False,100.0,0.01,gamma,None,linear,1,float,Reals
3487,17712,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3487,17713,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3487,17711,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3487,17708,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3487,17707,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
35979,0.507922362943,100.0,1,6.14986314661,0.01,184,2,1,184.0,743.087480113
35950,0.539389907553,100.0,3,6.55056974009,0.01,184,2,1,0.245405498187,907.639773745
35921,0.499382475073,100.0,1,3.71931748889,0.01,184,3,1,184.0,954.051167091
35895,-0.131706865439,0.01,3,86.3177211498,0.01,184,2,3,184.0,908.102019894
35890,0.580929879435,100.0,3,3.21364270386,0.01,184,2,1,176.155557134,794.592147353
35862,0.493886367908,100.0,1,4.06799579451,0.01,184,3,1,0.0,991.719547881
35858,0.577886719862,100.0,3,2.14698739412,0.01,173,2,1,0.0,170.875393811
35834,-0.0233213133383,0.01,4,0.01,0.01,184,2,0,0.0,637.057077353
35826,0.58033404624,99.9633276429,3,1.15790729051,0.01,184,2,1,0.091646884909,906.680036484
35794,0.49590849893,100.0,3,0.945041799718,0.01,2,2,3,0.0,789.690671021
35788,0.579518276996,100.0,3,1.93244511001,0.01,184,2,1,0.146315109303,908.593611001
35760,-0.0409167407294,100.0,5,5.3594916247,100.0,2,2,3,184.0,48.8301069419
35751,0.573320074895,99.9786583596,3,3.69246069715,0.01,184,2,1,0.0540692624629,906.893318234
35723,0.428456676869,100.0,2,5.20291658474,0.01,184,2,3,184.0,996.951293945
35718,0.478372583628,100.0,2,3.51704895183,0.01,184,2,1,0.0,909.497492931
35687,-0.0224659853633,82.2473725816,3,0.01,0.01,163,2,0,4.95972837969,998.424859461
35685,0.569569034631,100.0,3,0.01,0.01,184,2,1,0.0,908.587787973
35649,-0.022380333708,95.1465779195,2,0.033162464009,63.7756970304,41,2,0,0.0,1.0
35644,0.557710662321,100.0,4,0.748403216751,0.01,184,2,1,0.0,906.793682518
35619,-0.0772675330002,98.9734789672,2,15.4982464811,100.0,2,2,0,183.807226532,805.737791433
35613,-0.131706865439,97.1622566092,3,95.1277381214,77.8705979642,2,2,3,184.0,1.0
35581,0.535308898493,100.0,3,3.35315044857,0.01,2,2,1,184.0,825.40409792
35578,0.581583769887,100.0,3,2.11289044572,0.01,184,2,1,0.0,908.741314926
35542,-0.131706865439,0.01,3,99.9813523319,0.01,2,2,0,0.0,1000.0
35503,0.0214927777256,100.0,2,3.24004598717,16.7047668035,184,2,1,184.0,824.76229081
35538,0.517502163466,100.0,3,7.25130592857,0.01,184,2,1,0.126118763742,906.992937878
35500,0.473897256478,100.0,2,0.01,0.01,184,2,1,184.0,938.211045601
35464,0.564276568989,85.3308047744,3,4.47093066296,0.01,173,2,1,144.498323123,706.526836484
35458,0.567346450765,95.490423804,3,0.01,0.01,184,2,1,119.610178085,686.651295223
35425,0.58017521008,100.0,3,1.04345476877,0.01,184,2,1,0.0,905.869271263
35422,0.568115116215,100.0,3,0.01,0.01,184,2,1,184.0,1000.0
35383,0.201785740309,100.0,1,12.7419462346,0.01,2,2,1,177.512014626,831.031818221
35377,0.465609507777,100.0,1,0.01,0.01,2,2,1,56.7179920538,114.518859253
35341,0.556537279624,100.0,4,0.01,0.01,184,2,1,3.06696847565,906.322859459
35337,0.531736963229,99.8938091334,1,0.0102328842604,0.01,184,2,1,4.02641615437,908.130373179
35294,0.530236358471,100.0,5,0.01,0.01,182,2,3,184.0,1000.0
35301,0.368437954955,96.7639202544,1,0.01,100.0,2,2,2,184.0,822.647674667
35261,nan,98.8992118623,1,0.01,0.01,184,3,3,0.0,1.0
35256,0.569292004278,100.0,3,0.01,0.01,184,2,1,57.5437481516,837.279401636
35224,0.553796257823,100.0,3,4.27635438828,0.01,184,2,1,157.905242159,161.487565254
35219,0.457233374722,100.0,5,0.01,0.01,184,2,1,144.784086556,91.451731103
35190,0.530395828662,40.3042565814,5,0.01,0.01,184,2,1,53.9592132632,106.563795054
35184,0.548703298294,100.0,4,0.0100092683231,0.01,184,2,1,101.157380209,178.534594267
35150,0.531774191233,100.0,1,0.01,0.01,184,2,1,0.0,907.125641984
35148,0.539094929472,100.0,1,0.01,0.01,184,2,1,25.1236649892,129.094724993
35120,-0.131706865439,84.1031936247,3,25.6648262836,100.0,141,2,0,0.0560906579493,1.0
35115,-0.13307017852,0.01,5,23.4477849638,100.0,136,2,0,183.994946868,699.576885505
35084,-0.131706865439,0.01,3,78.6537820259,58.0030060837,66,2,0,0.0,2.42539899895
35075,-0.0209291366598,100.0,5,0.0328272699841,99.3140809621,2,2,0,183.58012087,4.01393307855
35051,0.556540669582,100.0,4,0.01,0.01,184,2,1,0.0,908.341467712
35044,0.463040186069,100.0,3,0.01,0.01,184,3,1,0.0,1000.0
35013,0.545704355642,83.4027511161,5,0.01,0.01,184,2,1,0.0,909.15089959
35008,0.545155400759,80.8946969806,5,0.01,0.01,153,2,1,0.0,834.366251788
34975,0.552375417712,100.0,5,3.01969132663,0.01,184,2,1,0.0,908.586641815
34972,0.556460038272,100.0,4,3.0375799631,0.01,184,2,1,0.0,908.090078886
34945,-0.13446470819,0.01,1,75.5410690705,96.4737535647,2,2,1,184.0,576.020859194
34940,-0.13446470819,100.0,1,99.1268547464,100.0,2,2,3,184.0,1.0
34909,-0.020893690544,0.01,5,0.0309737699229,0.01,184,2,1,183.989635343,1.0
34906,0.531763268778,100.0,1,0.01,0.01,184,2,1,0.0,909.240683439
34878,-0.137641636605,0.01,1,70.556555983,98.7196385336,184,3,1,0.0,1.0
34873,-0.0205003420132,0.01,5,0.01,95.7439530344,2,2,0,184.0,1000.0
34838,-0.0198485721349,0.01,5,0.01,0.01,2,2,3,174.776258061,996.951293945
34843,0.426193193539,84.4852658939,5,7.78881567685,0.01,2,2,3,184.0,996.951293945
34804,-0.129572523161,100.0,5,100.0,95.4340288374,2,3,0,0.0469257830476,42.207147712
34798,-0.13307017852,0.01,5,87.721081439,100.0,184,2,0,184.0,1.0
34766,0.569566227188,100.0,3,0.01,0.01,184,2,1,0.0,909.162794393
34723,-0.0205003420132,100.0,5,0.01,100.0,2,2,0,184.0,1.0
34759,0.53470000954,100.0,5,0.01,0.01,2,2,1,0.0,684.868986907
34721,0.53060259753,100.0,1,0.01,0.01,184,2,1,184.0,854.794984855
34684,-0.020246268959,0.01,5,0.01,100.0,159,2,1,0.0,34.4365134721
34687,-0.13307017852,0.01,5,87.117942858,100.0,110,2,3,184.0,818.908148624
34655,0.556900385033,100.0,4,0.0734475483886,0.01,184,2,1,14.7587460127,685.479391539
34646,0.417369452188,100.0,4,0.01,4.78573280088,184,2,3,0.0,104.831889524
34611,0.44612395126,100.0,3,0.01,0.01,184,2,2,184.0,902.483126322
34608,0.20515488728,100.0,5,0.01,13.7232718506,184,2,1,89.177422748,1000.0
34576,0.546710370986,100.0,5,0.01,0.01,184,2,1,159.465802424,860.203957373
34537,-0.13446470819,95.8394696134,1,83.3853510815,0.01,2,2,1,0.0,53.0022106236
34572,0.556536300486,100.0,4,0.01,0.01,184,2,1,0.0,909.210406801
34535,0.53122697113,100.0,5,0.01,0.01,2,2,1,184.0,717.087033166
34506,0.546916832652,100.0,5,0.01,0.01,184,2,1,0.0,908.248354621
