

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3493,17775,True,100.0,-100.0,R2,None,linear,1,float,Reals
3493,17766,False,100.0,0.01,C,None,linear,1,float,Reals
3493,17770,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3493,17769,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3493,17774,False,100.0,0.01,gamma,None,linear,1,float,Reals
3493,17772,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3493,17773,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3493,17771,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3493,17768,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3493,17767,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
36011,-0.0465804428281,61.9138794977,1,0.01,100.0,2,3,0,13.4420074639,1.0
35985,-0.0465804428281,0.01,1,0.01,100.0,2,3,0,0.0,987.317316803
35956,-0.0517027744784,100.0,1,0.01,100.0,2,2,0,0.0,1.0
35929,-2.32881230202,100.0,3,0.01,0.468503156358,179,3,3,184.0,1000.0
35926,0.326450287095,100.0,1,0.01,0.01,184,2,3,184.0,1000.0
35900,0.310806607663,37.9886769507,1,0.01,0.0808940387064,184,2,3,183.298285658,86.1612597424
35898,-0.0517027744784,54.7065138908,1,0.01,0.140030588593,29,2,0,0.0,450.221748185
35873,-0.0496793735969,34.5266329951,4,0.0100079910385,83.298369746,166,3,0,3.87181297261e-08,1.0
35868,-3.70886724917,99.6725413889,1,0.01,74.7982911918,74,3,3,30.57273289,667.903260551
35842,-0.0489998884668,17.927268385,5,0.01,98.399500979,175,3,0,184.0,929.185167945
35838,-0.0465804428281,99.9957341047,1,0.01,1.44193955566,178,3,0,182.001032573,735.127105356
35803,-0.0517027744784,0.01,1,0.01,0.01,184,2,0,0.0,853.574797547
35800,-0.0517027744784,0.01,1,0.01,0.01,2,2,0,184.0,1000.0
35769,-0.00175121358247,100.0,5,0.01,3.5462110198,2,2,3,0.0,661.606344123
35733,-0.0516250709722,98.9332793838,5,0.01,100.0,2,2,0,165.500328274,858.172541456
35764,-0.349245279646,71.0828347656,1,0.01,100.0,118,2,3,0.0,1.0
35728,-0.0489998884668,100.0,5,0.01,100.0,184,3,0,184.0,1000.0
35703,-0.0516250709721,85.3844463855,5,0.01,100.0,9,2,0,75.1781832558,1000.0
35695,-0.0516250709722,17.6172276548,5,0.01,35.8784778017,2,2,0,0.0127749330177,998.752077026
35666,-0.0516585179695,93.980301892,1,0.0100979765821,11.705137276,2,2,0,184.0,1.0
35662,-0.0210802488013,0.01,3,0.01,100.0,2,3,3,184.0,1000.0
35623,-0.0518593741468,0.01,5,0.0459434387308,100.0,184,3,3,184.0,41.7790714255
35632,-2.01862817987,73.5332173473,5,0.0113629603023,100.0,184,3,3,184.0,69.8002772231
35584,-0.0343199437462,0.570369939565,4,0.01,78.6692374319,184,2,1,173.561472663,1000.0
35579,-0.0465804428281,0.01,1,0.01,0.01,184,3,0,184.0,1000.0
35543,-3.98214804601,100.0,5,0.01,100.0,184,2,3,0.0,257.997886846
35540,-0.0516250709722,0.01,5,0.01,100.0,184,2,0,0.0,1000.0
35508,0.148404984186,4.42070697474,1,0.01,0.01,92,3,3,0.0,989.687123352
35502,-1.21398717533,36.5202460258,1,0.01,1.03814873225,174,2,3,184.0,849.067732056
35468,-3.60862434689,91.8374454215,1,0.0121637380709,100.0,120,2,3,156.812471371,5.49562163064
35462,-0.0489998884668,100.0,5,0.01,0.01,184,3,0,184.0,1000.0
35437,-0.0379030024913,0.01,5,0.0108181794086,7.70284273811,184,2,3,0.0,208.606053205
35431,-0.0891467783771,100.0,5,0.01,0.01,2,3,3,184.0,1000.0
35396,-0.0410027888164,0.01,5,0.01,100.0,2,3,3,0.0,1.0
35402,-0.0982559049748,37.022324535,1,0.01,100.0,41,2,3,76.4461140705,1.0
35363,-0.0499775117384,98.6414961424,3,0.0109728830821,0.609910616483,2,3,0,86.4341217106,1.0
35352,-0.0387061569182,100.0,1,0.0100169756494,0.01,5,3,3,184.0,1.0
35322,-0.0516250709722,100.0,5,0.01,0.01,2,2,0,184.0,985.628021115
35319,0.278872592091,100.0,1,0.0104883352977,0.01,29,2,3,184.0,939.963863068
35286,-0.0419495818588,0.01,1,0.01,76.2885039083,2,3,3,184.0,1.0
35281,0.16518569079,1.67348465733,5,0.0212362014283,0.01,184,2,3,184.0,192.714798236
35252,-0.0465804428281,100.0,1,0.01,0.01,2,3,0,184.0,1000.0
35247,-0.0465804428281,0.01,1,0.01,0.01,184,3,0,0.0,1000.0
35211,-0.6836784372,100.0,5,0.01,91.03231067,2,2,3,11.5870234231,1.0
35209,-0.132857915737,50.1333157751,5,0.01,13.8390455432,104,3,3,1.66405357333,1.0
35169,-24694.3105949,0.01,1,95.3737867728,59.9034312165,2,3,0,30.5786485281,676.83172153
35174,-24075.3571324,100.0,2,91.5516383295,19.8824275012,53,2,3,184.0,984.080178622
35126,-0.0465804428281,0.01,1,0.01,0.01,2,3,0,184.0,1.0
35124,-0.0516200554726,0.01,1,0.01,100.0,184,2,2,135.569486919,1.0
35087,-0.0517027744784,100.0,1,0.01,100.0,184,2,0,184.0,1.0
35054,-0.0483781875073,0.01,5,0.01,0.01,2,3,3,0.0,898.860409424
35085,-0.0489998884667,94.2320889738,5,0.01,100.0,184,3,0,184.0,1.0
35049,-0.0465804428281,0.01,1,0.01,100.0,2,3,0,184.0,1000.0
35026,-0.045131250843,0.01,1,0.01,0.01,16,3,1,115.842391117,64.2865150824
35018,-0.0377752258104,0.0384092378855,5,0.01,0.01,2,2,3,35.2905508848,984.579580266
34991,-0.0477177258115,100.0,1,0.0120739348681,0.01,2,3,0,184.0,1.0
34985,-0.0384252606044,0.0233413291284,1,0.01,0.01,184,2,3,0.0,1000.0
34953,-12.6742963128,100.0,1,0.01,0.99409522749,184,3,3,0.0,360.297129885
34946,-0.0517027744784,100.0,1,0.01,100.0,184,2,0,0.0,1000.0
34914,0.0409326927443,98.2334814665,5,0.01,0.01,171,3,1,0.354495230143,555.951830309
34911,-0.0517027744784,100.0,1,0.01,100.0,2,2,0,184.0,1000.0
34881,-0.0478176946166,0.01,5,0.01,0.01,184,3,3,184.0,1000.0
34845,-0.0465804428281,100.0,1,0.01,99.9955293654,184,3,0,0.0,1.0
34874,-0.0349383343034,1.00341852133,2,0.01,75.98175302,184,3,3,174.191598993,30.8916065141
34839,-0.0407423558445,0.01,1,0.01,99.991696505,94,2,3,0.0,1.0
34803,-0.0516250709722,100.0,5,0.01,0.01,2,2,0,0.0,1.0
34796,-0.0516250709722,100.0,5,0.01,100.0,2,2,0,0.0,1000.0
34764,-0.0473760950913,0.01,5,0.0388220570953,100.0,95,2,3,184.0,1.0
34757,-0.0517027744784,0.01,1,0.01,89.0907036396,149,2,0,183.923482504,1000.0
34724,-0.0516250709722,0.01,5,0.01,0.01,184,2,0,184.0,1000.0
34718,-0.0439286936214,0.01,5,0.01,100.0,2,2,3,0.0,1.0
34686,-0.0465979199356,7.61330557518,1,0.0100322021558,62.6005957346,2,3,0,0.0,80.8738595223
34648,-3.29945610686,90.7094124477,1,0.0366409033531,69.4376041088,184,2,3,14.2697729157,1000.0
34682,-0.0300396971949,87.9344208184,3,0.01,0.01,2,2,3,0.0,1.0
34645,-3.09060443078,100.0,1,0.01,100.0,2,2,3,184.0,1000.0
34612,-3.99220868143,100.0,5,0.0116853398994,100.0,181,2,3,184.0,673.847771258
34607,-3.69338678579,100.0,1,0.01,100.0,184,3,3,184.0,1000.0
34574,-0.0500074762437,100.0,1,0.01,0.01,184,2,1,0.0,1.0
34570,-0.0516250709722,100.0,5,0.01,100.0,184,2,0,0.0,1.0
34541,-0.0517027744784,0.01,1,0.01,0.01,2,2,0,0.0,1.0
34531,-0.0489998884668,0.01,5,0.01,0.01,2,3,0,184.0,1000.0
34500,-0.0516080715329,20.8092201204,5,0.01,0.01,184,3,2,105.017261297,1.0
34494,-0.0516250709722,0.01,5,0.01,100.0,4,2,0,184.0,72.247467242
34462,-1.55244406167,13.4427977951,4,0.0102113708908,100.0,2,3,3,184.0,1000.0
34458,-0.03944896847,98.523263771,1,0.12194896486,11.1925374226,74,3,3,184.0,1.0
34422,-0.0322152083917,5.39219450505,5,0.338362934842,100.0,184,2,0,184.0,1.04395680946
34416,-0.0489998884668,4.75796712418,5,0.01,100.0,55,3,0,0.0,1000.0
34379,-0.00454832383922,0.01,1,0.01,100.0,2,3,3,0.0,1000.0
