

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3486,17705,True,100.0,-100.0,R2,None,linear,1,float,Reals
3486,17696,False,100.0,0.01,C,None,linear,1,float,Reals
3486,17700,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3486,17699,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3486,17704,False,100.0,0.01,gamma,None,linear,1,float,Reals
3486,17702,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3486,17703,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3486,17701,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3486,17698,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3486,17697,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
36055,0.651951941702,98.5314921846,1,1.33678959457,0.110049002212,12,2,1,28.9071311732,1000.0
36044,0.674933031774,98.6243956764,1,1.07965484292,0.101445846207,10,2,1,2.74052686076,1000.0
36036,-0.0124670258429,38.7024075685,1,3.24595224928,100.0,89,3,0,85.1864187415,723.035270516
36027,0.472788700188,98.6725052281,1,1.16339334747,1.28132394437,2,3,1,1.10721554424,999.389195635
36019,0.649245702183,98.5121375548,1,2.61335316096,0.206201910256,6,2,1,3.17597770875,999.313391738
36006,0.492518596052,95.0809098657,5,2.94463557278,0.532197724387,100,2,1,6.80296431068,832.586730557
36004,0.666164942769,98.5933904912,1,1.0371835818,0.172846213888,10,2,1,2.90380916118,999.499216145
35983,0.479386105607,85.319833631,1,3.30504488005,1.79841472087,2,3,1,0.0,1000.0
35981,0.586445640318,7.90071029629,1,1.39565238099,0.0205602228288,129,2,1,184.0,270.85663937
35957,0.593835542637,2.30938064893,5,1.70323406215,0.197336782313,15,2,1,6.53582525455,818.323212282
35955,0.622395727642,6.50191052371,1,1.19790805331,0.858590262412,18,3,1,3.35540479751,973.55488931
35925,0.619249647616,5.97255854942,1,1.18171615839,0.214475198023,90,3,1,8.89010621109,868.133972065
35923,-0.0863850841229,61.88353115,5,91.5355796534,0.01,118,3,3,184.0,1.0
35894,0.648905777216,98.5447529339,1,2.09354677922,0.146315486948,7,2,1,3.45175420301,1000.0
35891,0.610696128762,98.6431591721,1,1.42766800402,0.145554217916,36,2,1,3.41189178448,999.070010364
35863,0.652492388086,98.6008563011,1,1.77978924712,0.345787407575,7,2,1,3.31060306911,1000.0
35857,0.589548416935,1.43479959825,1,1.43226429936,0.699284454231,116,3,1,14.890053752,869.634963923
35822,0.678711252649,5.90911299867,1,1.08591159159,0.258694090218,9,2,1,26.2563325824,837.560591506
35820,0.601499949097,98.7387944993,1,0.432438096476,0.0284051618561,2,2,1,3.11563964766,1000.0
35796,0.58667742792,98.6536272069,1,1.14593930228,0.0134172899577,2,2,1,3.17331500926,999.867048281
35787,0.61973177802,82.0087047589,1,1.35021216354,0.156279832508,5,3,1,12.6222826184,669.813277954
35756,0.548749537366,100.0,1,1.38927475512,0.0161473752641,67,2,2,184.0,454.736486331
35753,-0.0929581604926,54.650855665,1,82.9433913126,100.0,184,3,0,184.0,1.0
35716,0.665036920046,98.8007840734,1,0.799375064964,0.189732197816,4,2,1,3.10777643569,1000.0
35719,0.661509770928,98.6714065848,1,0.739153953595,0.191909158819,4,2,1,3.21791471372,1000.0
35680,-0.0864996305645,0.01,3,6.93838187463,6.08297262164,184,3,0,61.520285625,1000.0
35678,-0.00754316202291,0.01,1,0.01,100.0,184,3,0,11.138120227,1000.0
35647,0.623555948691,98.4954199822,1,0.156732050937,0.0132218696283,8,2,1,2.98595310041,998.297902025
35605,0.513442773641,24.3792774463,4,0.880275847957,0.0161674889283,81,3,1,181.026776131,228.503566246
35642,0.617819828913,82.1710641289,1,0.573116711846,0.146064491474,12,3,1,16.729375336,782.910203277
35600,0.595318469971,69.7709773075,5,0.315629893759,0.01,184,2,3,184.0,1000.0
35569,0.548739399747,98.7736307614,1,0.976644171909,0.103495264644,2,2,2,2.2739214597,999.285974875
