

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3488,17725,True,100.0,-100.0,R2,None,linear,1,float,Reals
3488,17716,False,100.0,0.01,C,None,linear,1,float,Reals
3488,17720,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3488,17719,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3488,17724,False,100.0,0.01,gamma,None,linear,1,float,Reals
3488,17722,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3488,17723,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3488,17721,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3488,17718,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3488,17717,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
35878,0.277333860438,100.0,1,4.371063123,0.01,2,3,1,3.22158547069,822.293448138
35848,0.412104926679,100.0,1,0.01,0.01,184,3,1,0.0929667675609,1000.0
35845,0.347015478312,100.0,1,2.29947418604,0.01,184,3,1,15.2991669075,644.639582845
35817,0.364286115312,100.0,1,0.01,0.01,13,3,1,170.542222741,301.527889964
35814,0.413694300111,100.0,1,0.01,0.01,184,3,1,184.0,126.578640746
35780,-0.192216787026,0.01,5,0.01,100.0,184,3,0,184.0,1.0
35776,-0.182780441677,100.0,5,0.01,0.01,2,2,0,22.6486376459,32.9890123397
35745,-0.0842351255595,0.818957240697,1,0.01,90.03104339,13,3,3,0.0,17.0981825917
35743,0.326005027343,100.0,1,1.16437597522,0.173483246671,2,3,1,1.00142546168,837.324085721
35711,0.35520938011,100.0,1,0.01,0.0383604986464,184,3,1,0.138641252759,1000.0
35708,0.414074680157,100.0,1,0.0835884102797,0.01,184,3,1,0.0,999.024777034
35674,-0.165983065065,100.0,1,0.01,0.01,184,3,3,184.0,37.5222284616
35672,0.344824667465,100.0,3,0.01,0.01,184,3,1,184.0,999.877014249
35633,-0.186642626681,0.01,5,0.0100000036728,100.0,2,3,1,0.0,1.0
35635,-0.132808788161,74.5927535906,5,0.01,36.4523617806,2,2,2,0.0,61.3706609094
35596,0.17082128627,100.0,5,0.01,0.01,2,3,1,0.0,1000.0
35593,0.412184169076,100.0,1,0.01,0.01,104,3,1,0.0,1000.0
35558,0.374473176108,100.0,1,0.403138809868,0.01,9,3,1,184.0,366.112357241
35552,0.300738530205,100.0,1,2.27638154831,0.01,2,3,1,184.0,1000.0
35521,0.380199539124,99.9855495317,1,0.01,0.01,2,3,1,179.177278303,1000.0
35513,0.380197288292,99.9128926925,1,0.01,0.01,2,3,1,180.086327754,1000.0
35486,0.271739280313,100.0,1,3.11764807898,0.01,184,2,1,184.0,838.813938303
35480,0.413163101994,100.0,1,0.0114089792236,0.01,184,3,1,184.0,1000.0
35446,-0.0731740303957,100.0,1,5.13758436574,100.0,2,3,2,0.0,1000.0
35440,0.412117375941,100.0,1,0.01,0.01,184,3,1,0.0,998.164482137
35407,0.412212679831,100.0,1,0.01,0.01,184,3,1,49.2232647641,1000.0
35403,0.413150478065,100.0,1,0.01,0.01,184,3,1,184.0,999.517421799
