

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3489,17735,True,100.0,-100.0,R2,None,linear,1,float,Reals
3489,17726,False,100.0,0.01,C,None,linear,1,float,Reals
3489,17730,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3489,17729,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3489,17734,False,100.0,0.01,gamma,None,linear,1,float,Reals
3489,17732,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3489,17733,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3489,17731,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3489,17728,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3489,17727,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
36049,0.646011915262,100.0,1,0.759331117377,0.764662583502,91,2,2,46.4618863357,89.2923137729
36028,0.682640778785,100.0,1,0.424703769844,25.7377506452,2,2,2,17.9122586201,37.3732093166
36018,0.1010920495,44.7446706079,1,0.01,35.9821458191,178,2,2,0.347470170828,6.70301098638
36010,0.626118123036,100.0,1,0.01,0.01,184,2,2,0.0,667.190126074
35988,0.691252012777,100.0,1,0.312459044498,0.5021709013,184,2,2,0.0,37.7358132805
35969,0.66233201165,100.0,4,0.223476627949,1.39213128804,2,2,2,40.2384674145,36.6172992232
35987,0.560982035675,80.2477925779,5,0.370133311105,0.196192805338,95,2,2,46.1649856752,52.2650626485
35963,0.561017888431,100.0,5,0.65917234204,0.01,79,2,2,184.0,936.220943711
35942,0.65054352623,62.5192522432,1,0.0770789012294,0.0106570370337,180,2,3,176.193112636,167.264785573
35935,0.626427286166,100.0,1,0.735473142781,0.01,184,2,3,184.0,167.628651945
35917,-0.516294562491,45.0206384015,5,58.4658664584,0.345459012824,175,2,0,59.9824170304,2.28649244156
35913,-0.0253508459014,0.01,5,0.752375716022,77.9830922616,2,2,0,10.1878575203,3.30863130558
35884,0.623401186176,100.0,1,0.582410829823,0.01,113,2,3,184.0,341.968436293
35881,0.53897279496,100.0,1,0.51465304484,0.01,2,2,3,184.0,1000.0
35850,0.538423799915,100.0,1,0.786263298875,0.01,2,3,3,184.0,79.1730001447
35846,-0.487058152781,100.0,5,13.2644630939,60.3131417847,184,3,0,30.6386266878,5.2674360021
35816,-0.0425338473739,100.0,5,0.627727025275,83.3468001293,184,3,3,184.0,45.5779217682
35813,-0.49656679438,100.0,1,100.0,99.5117675781,2,3,0,0.0,29.9464005502
35779,0.239647989959,100.0,1,0.976455814731,50.0782319095,9,2,3,0.0,47.0520319558
35774,-0.49656679438,100.0,1,4.14996427833,0.01,6,3,3,0.0,13.1234873555
35746,-0.0326970835847,100.0,1,1.25692378658,0.01,2,3,3,0.0,1.60331634304
35741,-0.03682807468,0.01,5,0.861241484917,56.9211308791,2,3,3,0.0,2.2003310918
35706,-0.49532073074,0.01,1,60.3575425994,69.1231961667,2,2,2,54.3091755088,3.24916376405
35702,-0.516294562491,100.0,5,4.74423047731,88.5879550604,2,2,3,166.970194912,2.2706578134
35671,-0.329608354107,100.0,5,3.36226870736,99.8030052977,2,3,0,0.00159880814027,19.9157666211
35664,-0.095678948445,98.0722221704,5,2.37527883278,66.8987740058,184,2,0,10.7438742387,1.14649743816
35634,-0.0938955014502,15.5554953083,5,2.47424870199,88.6472658402,3,2,3,0.0,1.09844117971
35622,-0.247851059255,99.9958568479,1,3.23833105236,9.40456852559,17,2,3,0.0,1.09271241224
35591,-0.806686320234,100.0,3,0.01,65.1005836647,184,3,2,0.0,1.495215919
35583,-0.493368082801,100.0,2,57.6326807489,66.0366152763,183,3,3,0.0,1.49979297004
35547,-0.49656679438,0.01,1,4.28654431959,63.5771304427,180,3,0,0.0,1.48519835197
35544,-0.0402207778568,46.2434923883,2,1.10509061158,52.8822168781,2,3,0,0.0,1.40702815955
35518,-0.0757666386558,0.01,5,0.01,55.4416445217,52,3,1,14.5117676004,721.808207187
35505,-0.0779947470018,0.01,1,0.01,67.7131340716,184,3,1,45.2483959768,706.478145465
35469,-0.0394018298893,0.01,1,1.11822072635,72.7837421338,184,2,2,18.6287447958,37.2132537628
35465,-0.0647204691318,0.01,1,1.68110076813,0.0249215496367,174,2,2,0.213652005763,2.17170190916
35430,0.405790906763,7.10508319374,1,0.732392886808,65.9061205995,178,2,2,3.99206228686,1.11452070012
35427,-0.483900206386,100.0,5,0.968125531138,85.2993841203,11,2,2,170.368718888,1.0
35384,-0.0971874607273,0.215716428831,5,0.01,10.1246715154,181,2,3,4.55499515159,1.00002925257
35386,-0.086633602145,0.0831377363074,5,0.01,31.0449996169,182,2,3,3.05900662432,1.0
35357,-0.49532073074,100.0,1,99.9931676371,5.56413995054,184,2,3,183.997549575,897.948179546
35346,-0.487058152781,100.0,5,49.7108632168,8.06323832745,158,3,1,0.0,1.0
35320,-0.13097916936,100.0,1,1.37136516171,55.6195732876,184,2,3,165.887309668,7.7770396085
35315,nan,8.16076864895,1,0.810834696334,73.5225811781,181,2,3,184.0,1.00110923604
35275,nan,0.01,5,0.245026716714,17.8956919027,179,2,3,84.1039647011,1.0
35282,-0.45022071888,100.0,1,3.62389892085,12.6572360487,2,2,3,183.991584061,1000.0
35242,-0.103679081642,100.0,5,0.348036531158,93.6333656507,2,2,3,0.0,1.0
35241,-0.0869702807877,100.0,5,1.4148415091,57.6226845267,155,3,3,0.0,1.0
35206,nan,100.0,5,1.45827534559,86.9768450025,171,3,3,0.0,1.0
