

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3504,17879,True,100.0,-100.0,R2,None,linear,1,float,Reals
3504,17870,False,100.0,0.01,C,None,linear,1,float,Reals
3504,17874,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3504,17873,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3504,17878,False,100.0,0.01,gamma,None,linear,1,float,Reals
3504,17876,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3504,17877,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3504,17875,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3504,17872,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3504,17871,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
36602,-1.55560899982,0.01,1,24.2778894399,0.01,170,2,3,184.0,23.2115760448
36601,0.114808273707,96.7995319432,1,0.01,0.01,43,3,1,184.0,962.266291193
36600,0.114800943821,96.7897649724,1,0.01,0.01,43,3,1,184.0,962.890741033
36599,0.114753997831,97.2510933785,1,0.01,0.01,45,3,1,184.0,963.32177219
36598,0.114766865462,97.2954675386,1,0.01,0.01,45,3,1,184.0,962.404542456
36597,0.11500678786,100.0,1,0.01,0.01,44,3,1,184.0,961.890273055
36596,0.115013788884,99.9931838421,1,0.01,0.01,44,3,1,184.0,962.44558912
36595,0.115009005062,100.0,1,0.01,0.01,44,3,1,184.0,962.907237193
36594,0.114701805851,100.0,1,0.01,0.01,45,3,1,184.0,961.084404749
36593,0.114700664474,100.0,1,0.01,0.01,45,3,1,184.0,964.072818828
36592,0.114700202189,100.0,1,0.01,0.01,45,3,1,184.0,962.840847626
36591,0.11388898224,98.2541969194,1,0.01,0.01,46,3,1,184.0,962.804394345
36590,0.11389790795,97.9171988949,1,0.01,0.01,46,3,1,184.0,961.204359158
36589,0.113885762745,97.9535060637,1,0.01,0.01,46,3,1,184.0,963.715964595
36588,0.113895300738,97.8369626881,1,0.01,0.01,46,3,1,184.0,961.96300942
36587,0.114757649976,97.5268262831,1,0.01,0.01,45,3,1,183.994242489,961.126671777
36586,0.110701563412,97.2991996329,1,0.136805529481,0.01,44,3,1,183.994819853,961.725876816
36585,0.114755897109,97.4643933014,1,0.01,0.01,45,3,1,183.993228868,962.413484688
36529,-0.160137258516,0.01,1,0.01,99.0393230025,138,2,3,0.0664818930706,1.0
36528,0.114796293615,100.0,1,0.01,0.01,43,3,1,184.0,962.592148699
36527,0.114796532446,100.0,1,0.01,0.01,43,3,1,184.0,961.040753587
36526,0.114799461073,100.0,1,0.01,0.01,43,3,1,184.0,961.627958324
36525,0.112933827964,100.0,1,0.01,0.01,42,3,1,184.0,963.828685305
36524,0.112933944591,100.0,1,0.01,0.01,42,3,1,184.0,965.071060444
36523,0.11289839543,100.0,1,0.01,0.01,41,3,1,184.0,963.074698417
36522,0.112899056847,100.0,1,0.01,0.01,41,3,1,184.0,963.946494013
36521,-0.660055989227,5.8938792975,1,17.9900165085,53.4829940021,2,2,0,184.0,416.726107563
36520,0.113640211547,100.0,1,0.01,0.01,48,3,1,184.0,962.740632278
36519,0.113642755506,100.0,1,0.01,0.01,48,3,1,184.0,963.093743241
36518,-0.407986741424,0.01,3,15.4398878888,2.00754170725,2,3,0,104.553856238,159.375372628
36517,0.1148593697,94.9922651525,1,0.01,0.01,43,3,1,184.0,853.677924382
36516,-0.791097700174,0.01,1,19.300578956,0.01,2,2,0,184.0,1.0
36515,0.114877192953,94.4722356176,1,0.01,0.01,43,3,1,184.0,852.851936964
36514,0.1149676116,93.3925188124,1,0.01,0.01,43,3,1,184.0,851.145032942
36513,0.111756413595,100.0,1,0.0703371880331,0.01,46,3,1,184.0,961.040288267
36512,-0.788823148008,0.01,5,19.2638926778,0.01,126,3,0,129.433066571,579.338477669
36511,-2.55311212217,99.9987540683,5,20.9926419864,58.4142788637,175,3,3,0.0,507.45848239
36510,-0.929858619632,0.01,5,20.3353241285,72.1270510832,2,3,0,0.0,1000.0
36509,0.114948158054,97.4393991769,1,0.0163535614367,0.01,44,3,1,183.999965488,962.08218017
36508,0.00534207494975,8.08929320078,1,0.01,0.01,19,3,1,184.0,964.286435304
36507,0.113235073147,99.8536816623,1,0.0761060543314,0.01,44,3,1,183.99995105,961.036205664
36506,0.115117843459,97.3085398534,1,0.01,0.01,44,3,1,183.999953524,961.412565439
36505,0.113536871688,100.0,1,0.01,0.01,49,3,1,183.644611293,928.095089246
36504,0.113518384725,100.0,1,0.01,0.01,49,3,1,183.429141314,962.240752081
36503,0.115012074831,100.0,1,0.01,0.01,44,3,1,183.999146261,961.828784068
36502,0.113490696787,100.0,1,0.01,0.01,50,3,1,183.344007902,947.375447862
36501,0.113500472299,100.0,1,0.01,0.01,49,3,1,184.0,999.52324651
36500,0.11350407021,100.0,1,0.01,0.01,49,3,1,184.0,999.425892661
36499,0.113498431908,100.0,1,0.01,0.01,49,3,1,184.0,999.203909766
36498,0.113501993752,100.0,1,0.01,0.01,49,3,1,184.0,1000.0
36497,0.113681388151,95.8707139665,1,0.01,0.01,49,3,1,167.153347071,793.135942116
36496,0.11156309943,87.5506693178,1,0.0101031757893,0.01,84,3,1,0.0,1000.0
36495,0.111906896778,99.9929610103,1,0.01,0.01,184,3,1,0.0,1000.0
36494,-3.30055851516,0.166050238619,1,30.1417885669,100.0,184,2,3,0.0,842.411140604
36493,0.114168876449,95.2441896582,1,0.01,0.01,47,3,1,184.0,750.809219439
36492,0.113671065469,99.9949002443,1,0.01,0.01,52,3,1,184.0,823.097586811
36491,0.113680363282,99.9923655556,1,0.01,0.01,52,3,1,184.0,819.39956964
36490,0.11314949423,99.9990077105,1,0.01,0.01,67,3,1,184.0,752.518781716
36489,0.113748101225,100.0,1,0.01,0.01,49,3,1,184.0,704.197862875
36488,-0.0857079334984,98.6034084438,1,11.116921871,0.01,184,3,1,183.536547642,809.324555532
36487,0.113736953482,100.0,1,0.01,0.01,49,3,1,184.0,710.150209601
