

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3494,17785,True,100.0,-100.0,R2,None,linear,1,float,Reals
3494,17776,False,100.0,0.01,C,None,linear,1,float,Reals
3494,17780,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3494,17779,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3494,17784,False,100.0,0.01,gamma,None,linear,1,float,Reals
3494,17782,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3494,17783,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3494,17781,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3494,17778,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3494,17777,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
36007,0.0739544338481,82.3618492373,3,84.6219581858,51.8153536055,2,3,1,9.35032148635,31.9755587031
35986,0.0643163655886,74.9053983746,3,86.6064781186,100.0,2,3,1,9.75720989336,31.1816242952
35984,0.0649418714492,74.7106443796,3,85.3389720793,99.8956754581,2,3,1,9.17959667935,32.028532709
35958,0.0171274419505,80.7399259004,5,57.0026424303,7.97246231353,58,3,2,112.469614414,33.1459032028
35961,0.0605710417239,74.5518048488,3,85.4258453496,99.7837068541,2,3,1,8.08255620047,34.0532987205
35941,-0.0220243376466,46.3656064625,5,94.7041442204,75.8112324552,53,3,2,114.950514753,35.6129137135
35932,0.0653498481992,76.216657159,3,86.1473555645,97.8820173483,2,3,1,9.73531327689,31.4156103344
35909,0.0483788418625,72.3547248156,5,72.3095071549,12.9033411389,55,3,2,112.174491833,34.3798464459
35904,0.0639175574355,74.9635333204,3,87.465761718,100.0,2,3,1,10.3248911872,31.3004235733
35876,0.0646008067272,76.4329192712,3,84.9803702971,100.0,2,3,1,9.82697090654,31.2381690044
35870,0.0631629266791,100.0,3,82.5840692367,100.0,2,3,1,9.72109918425,31.5376101076
35837,0.0648982735329,75.1605730533,3,85.535704375,99.928574251,2,3,1,9.89006974897,31.3208256266
35841,0.00837180177996,12.467007753,3,89.4160009099,100.0,2,3,1,10.3675172208,31.2882499768
35799,0.0646916859772,76.9552493556,3,86.0004990695,100.0,2,3,1,10.1997812265,30.9628558467
35791,0.0654904906978,74.94690614,3,88.1464679776,100.0,2,3,1,9.87351689448,31.4507112802
35757,0.0653534782011,74.9737669957,3,85.9101567972,93.1922531121,2,3,1,10.101546124,31.3162621375
35715,0.0260786030445,76.1523879921,3,47.5961744937,95.4497497999,2,3,1,8.77541962645,33.6073605935
35749,0.063753893838,73.4571513797,3,86.9081370403,97.4724495556,2,3,1,9.94322555752,31.7188542605
35714,0.0222892087495,51.945417633,3,43.3104409833,97.1435002624,2,3,1,9.98204354288,30.8928315339
35682,0.0544860691921,98.6147379591,3,100.0,92.1667795702,2,3,1,9.90511001107,31.2853841361
35640,-0.0910449934052,34.8101445225,3,45.3820744963,41.4806039601,2,2,1,5.6167931622,35.7794509024
35677,0.0628772697057,90.1856681728,3,92.3687401603,94.1392662761,2,3,1,9.88323977789,30.9189859346
35638,-0.0893554579316,34.7462025253,3,45.1182448022,41.3906848899,2,2,1,6.66665729139,35.8380877873
35601,0.0555429923237,98.7955423541,3,99.7937126998,92.2700084163,2,3,1,9.90457823029,31.9675169666
35595,0.0554125990212,98.898036792,3,99.8686710921,92.4618749256,2,3,1,9.85200060663,31.9344442361
35564,0.0549633077887,98.9848332419,3,99.9562852789,92.2294015227,2,3,1,10.2580868229,31.8521800554
35561,0.0451557648262,98.9951548992,3,99.7904531969,92.0803235266,2,3,1,8.74475944693,35.8129747661
35530,-0.0369397571519,78.2248386159,1,61.4296545789,68.8507722688,44,3,1,37.9088563842,35.0433603696
35491,-0.036471469186,68.8385652262,4,21.5776675048,20.161792746,67,3,3,54.3329208304,35.5476911744
35528,0.00122801369501,39.4305929868,5,98.5012155802,18.0153522068,63,3,2,119.909642575,35.2174202089
35484,0.00279997932134,68.7147862486,5,21.6361556832,19.9473986864,69,3,3,111.56554816,35.2985058377
35449,-0.0132567940395,34.7095579939,3,44.9935426604,41.3140052358,46,2,2,182.96433541,35.0086464463
35447,0.0534620996325,99.2800611907,3,99.7535261846,92.1088588079,2,3,1,6.90569222511,35.8376963012
35409,0.0198750613418,39.4381436663,5,98.49093754,18.0202010622,61,3,2,119.912692557,35.1091071812
35413,-0.0423691294761,78.2285684998,1,61.4520232854,68.848887705,38,3,3,70.5916301481,35.1635053662
35370,-0.0344983545507,77.0435735803,1,61.5304050784,68.1293562266,98,3,2,80.9104508724,35.3891514452
35369,0.0533024876554,99.0921743495,3,100.0,92.2034204193,2,3,1,10.6839545774,31.9056826874
35329,-0.040727146825,48.45486207,1,26.5820496016,83.0705407678,43,3,1,3.16698623451,361.897176945
35296,-0.0366509163282,23.580140361,4,27.9738283288,99.2064831356,32,2,1,13.0275455716,674.275111025
35328,-0.0852498344849,99.0512317719,5,99.6707655446,92.085205437,2,3,2,10.1391587918,31.8854929277
35291,-0.0428319354661,6.61328861038,4,54.7531829476,25.8984421839,16,2,2,3.50055771495,596.190858754
35257,-0.0232986981777,25.4233669078,5,27.1890521963,72.0348961843,81,2,1,129.598389919,35.1856151523
35250,-0.0184430567453,1.78593865871,2,37.7076444786,48.6318434181,10,3,2,83.7006417842,35.3051530938
35218,0.00737255127705,78.2089051483,2,61.4354244913,68.7911851425,48,3,2,119.400717481,35.142146055
35216,0.0547646965128,100.0,3,99.8975093984,92.4883531178,2,3,1,9.48515532128,31.9179953585
35187,0.00602240614607,22.1513409342,2,93.6285658954,23.3230944746,90,2,3,146.220703477,35.3384190732
35183,-0.0462346651747,93.7628308123,3,28.1443933708,65.884759434,86,3,0,34.7919565148,596.32903306
35160,-0.0374572925041,30.9524467974,1,72.7472109179,89.2955542607,89,2,0,6.96789362844,38.9785115778
35155,-0.037763062424,31.1586203026,1,73.1045904371,89.3284965616,85,2,1,7.18822397097,35.8107522807
35119,0.0554791126677,98.9947704053,3,99.7773157386,92.2393246949,2,3,1,9.97417259282,31.8581396128
35116,-0.0356653802159,46.5544209616,5,95.7028552332,49.7103041518,172,3,2,13.4161295654,36.2917969942
35076,0.0552018501458,99.094556383,3,99.9239851117,92.2710359332,2,3,1,10.0882943798,31.8514491557
35083,-0.203574312927,21.6325682947,3,6.69967137173,40.3970933678,2,2,1,84.5005997913,39.181431127
35056,-0.0876593120869,48.3803648952,5,95.7039816236,49.1528015364,2,3,1,19.8773297882,35.671342271
35048,0.0551235502317,99.4107260702,3,100.0,92.0971381197,2,3,1,9.66283094422,31.9915400933
35007,-0.0371612710846,98.6992106115,3,100.0,91.9088905389,2,3,1,58.7415968096,31.9995281986
35004,-0.0243996193173,58.8796608373,3,80.6556310664,78.5600894289,170,2,1,124.717828799,35.7727466786
34971,-0.0458147404616,99.1695002837,3,99.6334230588,96.7600467285,2,3,1,0.0,31.9173289606
34963,0.0121738802659,99.1740620524,3,100.0,99.9189257088,2,3,1,5.87219307786,31.8263823646
34928,0.0519082771467,99.1489586415,3,100.0,100.0,2,3,1,10.8226388379,31.809685862
34921,0.053096682414,99.2591655952,3,100.0,91.9654132321,2,3,1,10.6395622734,31.9842419981
34888,-0.031713568396,85.7238393676,3,99.902114983,90.2792352492,2,3,0,11.2099856383,31.9813043081
34887,-0.0342998958645,18.2222838799,5,100.0,0.0100533177367,2,2,0,175.670916759,35.6965870052
34854,-0.0419437491011,99.2295569069,2,99.8604306893,87.7230895511,2,3,1,10.6397628699,32.1287599315
34847,-0.0402089497348,99.3870360071,3,99.9460278592,63.5156666268,2,3,2,0.0,31.9960638782
34820,-0.0183255279968,69.062650169,4,23.6393126951,20.2325558888,2,3,3,53.5107011048,35.9289425752
34814,-0.0155772591354,69.0286817091,4,23.33028973,20.2229970814,2,3,3,53.6264298284,35.6026055039
34781,0.0506127043684,99.2366658865,3,99.9715508265,90.0947549554,2,3,1,11.2141212795,31.962755693
34777,0.0506986251177,99.1883544213,3,99.9864908711,89.9087294432,2,3,1,11.1562909446,32.0115187783
34742,0.0494155554552,99.3115578653,3,99.9122746002,90.1378995311,2,3,1,11.431432196,31.9996482271
34712,0.0503982687572,99.0696490915,3,99.9847564479,90.139112595,2,3,1,11.2280849151,32.0090205287
34737,-0.0353743455075,94.2998905567,3,65.4941668625,42.1078417029,122,2,0,97.59278372,31.8319877946
34710,0.0510170223596,99.248411343,3,100.0,90.1358841276,2,3,1,11.2482804662,31.8307902679
34672,0.0505671601017,99.0875924842,3,100.0,90.0861377094,2,3,1,11.2922854225,31.9025108493
34667,0.0500403734032,99.1057423138,3,99.9878143295,90.0215190717,2,3,1,11.3776346516,31.9279432737
34634,0.050277754432,98.9691283732,3,100.0,90.2564919296,2,3,1,11.2911785838,31.9755581745
34629,0.0504252554135,99.030950958,3,99.9466592347,90.0335610649,2,3,1,11.3132021731,31.9236345211
34593,-0.0262762342275,98.9464044049,3,99.8051523467,90.3029131269,6,3,1,11.7437676222,31.9195979082
34587,-0.0350723959968,0.01,1,99.7349914077,0.416269669372,2,3,2,23.6221392712,987.404403248
34556,-0.0399614586999,97.9926842999,2,99.8806202281,90.0868827442,2,3,1,11.2917898918,31.8742433424
34553,0.0500017650217,98.923894947,3,99.9961260494,90.1586535265,2,3,1,11.4872046815,31.8370159744
34518,0.048767728702,100.0,3,100.0,90.2046151332,2,3,1,11.5070220475,31.9814421151
34513,0.0496789849651,99.7233129144,3,100.0,90.1966183487,2,3,1,11.3911334365,31.922176606
34477,0.00149264109929,100.0,3,100.0,90.3774567311,4,3,1,11.4912028166,31.8782737482
34473,0.0491103302736,100.0,3,100.0,90.1833610764,2,3,1,11.4975472948,31.9091661785
34436,-0.105064825112,100.0,5,100.0,100.0,2,3,1,11.8247762081,32.7829076709
34430,-0.00361345734062,100.0,1,100.0,100.0,2,3,1,11.27796633,32.7033929236
34403,-0.031672112204,100.0,5,100.0,11.6774494899,13,3,0,11.4344371625,23.6659306875
34395,-0.031672112204,100.0,5,100.0,53.7433937244,2,3,0,0.0,1.0
34370,-0.0478887404389,100.0,1,0.01,0.01,2,2,0,14.1233879252,1.0
34369,-0.0889593153228,41.146316569,1,99.0523910298,99.8266383332,2,2,3,10.5155141251,1000.0
34332,-0.0412936055776,98.2389598637,4,64.2043840214,76.8191854262,151,3,0,11.4282227725,419.94020668
34331,-0.134527745221,98.4440987042,3,100.0,90.4685876677,2,2,1,11.3064627576,31.5038978266
34296,-0.0369933775763,20.2409316275,4,44.0546935623,10.6468693587,14,3,0,11.5357505418,5.04980948833
34294,0.0493538357797,100.0,3,100.0,90.3247227226,2,3,1,11.5209556745,31.8251509441
34263,-0.0431807588583,24.7267663574,4,56.3642272949,84.3399450684,5,2,3,14.1279296875,37.2186279297
34261,-0.0427082101177,39.6728223595,5,7.62434786209,92.768261541,99,2,1,12.9696840364,593.244774116
34232,-0.0440253445351,88.1787979448,5,32.0586718311,90.0591377368,181,3,0,9.15733676543,1.0
34225,-0.036565029877,25.3358485094,1,31.2977006511,100.0,2,3,3,10.2903568893,1.0
34191,-0.00760981840368,73.4629019728,1,24.379449018,61.3306091123,2,3,2,0.721494239421,1000.0
34186,-0.0349953507477,25.1873936754,1,100.0,100.0,2,3,0,3.15163173052,1.0
34155,-0.0435076414432,2.80772390014,5,3.21413319942,76.4076706055,77,2,3,0.00567248607889,229.638987972
34148,-0.0476081169457,97.3792129222,3,100.0,100.0,2,3,1,0.0,31.5681110322
34117,-0.0451264663647,72.1184167322,1,100.0,8.65455740281,47,2,3,46.4589176966,1.0000000079
34112,-0.031664331359,38.8705390446,4,99.2812948116,39.0932274088,159,2,3,59.360504586,154.513739436
34075,-0.0317489122928,0.01,3,100.0,100.0,85,3,1,129.169192585,31.052003126
34073,-0.0349953507477,74.862934968,1,100.0,99.893657053,2,3,0,184.0,31.0806346211
34039,-0.0911306159747,99.9999683007,3,67.0957420101,5.76985021353,2,3,2,0.0,33.9154936487
34034,0.0350666495479,93.6877857084,3,100.0,95.4163624955,2,3,1,11.4423653835,35.7703282378
34004,-0.0342472738371,100.0,1,79.7705954547,58.4729538943,5,3,0,171.714713446,36.1078538607
33999,-0.000973231091286,100.0,3,100.0,89.2891582341,2,3,1,12.3441765666,39.0431567035
33968,-0.031672112204,100.0,5,100.0,100.0,2,3,0,0.0711952190456,30.7661599718
33957,-0.147753969638,100.0,4,100.0,96.3627283954,2,2,1,0.0,31.0899747633
33929,-0.0437096451888,99.8653716525,3,100.0,90.3841993207,2,3,1,11.8411778656,18.9616647545
33924,0.0480839450133,100.0,3,100.0,90.1159156283,2,3,1,11.7081285828,31.929268887
33887,-0.0446846480886,0.01,5,0.01,0.01,2,3,3,184.0,24.4612955065
33884,-0.0570436028593,99.8563908505,1,100.0,88.0882616027,2,3,1,33.7201640225,19.6207224026
33849,-0.0359537036629,68.355596362,1,70.6844768401,58.3410979494,165,3,3,16.1352786892,338.917542689
33845,-0.0349953507477,90.1371173031,1,100.0,23.3583308225,173,3,0,16.7474856373,1000.0
33817,-0.0353427315047,98.7912487054,1,100.0,91.2890462463,2,2,0,184.0,1.0
33809,-0.0670592626161,100.0,1,99.9118708742,7.98624112654,174,2,3,5.37785010436,421.05852528
33780,-0.108311264018,100.0,3,99.4516868047,90.4270852833,2,2,2,0.0,43.4042061875
33774,-0.0317618150433,100.0,3,99.9991305697,90.5057261656,2,3,0,0.0,42.3467916809
33741,0.0476667486831,100.0,3,100.0,90.3104358512,2,3,1,11.7312622643,32.0183148979
33736,-0.0362653640733,100.0,5,100.0,64.2754312932,177,3,3,0.0,145.232216954
33701,-0.0403609345476,100.0,1,82.7249685866,94.5080180377,81,2,3,156.463392639,34.3376868553
33697,-0.0290407106815,100.0,1,100.0,92.9117169557,140,3,1,142.558151533,34.5939915586
