

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3485,17695,True,100.0,-100.0,R2,None,linear,1,float,Reals
3485,17686,False,100.0,0.01,C,None,linear,1,float,Reals
3485,17690,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3485,17689,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3485,17694,False,100.0,0.01,gamma,None,linear,1,float,Reals
3485,17692,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3485,17693,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3485,17691,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3485,17688,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3485,17687,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
35982,-0.106362893926,13.8541999395,1,0.01,92.5293809344,32,2,0,184.0,483.799481375
35977,0.0174191923293,2.19720622145,3,0.010450622249,92.5841237718,23,2,2,184.0,290.252551283
35954,-0.105765017745,0.01,5,0.01,0.01,184,3,0,98.3932330615,1000.0
35953,0.184306262859,98.9532431705,2,0.01,0.01,184,3,3,0.0,1000.0
35927,0.0790733752329,17.9928475937,5,0.01,0.160899272131,49,2,3,87.1319202034,937.334712254
35924,0.263875522858,20.2367353293,1,0.01,0.01,184,3,3,0.0,1000.0
35897,0.23414743861,90.8928765387,1,0.01,0.01,184,3,3,1.0772724053,1000.0
35892,0.334307457298,93.2016471011,1,0.01,0.01,184,3,1,0.0,1000.0
35865,-0.107708074839,100.0,1,0.0138177755843,99.9999979758,2,3,0,0.0,1000.0
35861,0.253983922065,87.1783214823,5,0.01,0.01,2,3,3,17.7619267915,1000.0
35831,-0.109006830615,0.01,1,0.01,0.01,184,3,0,179.150960099,1000.0
35827,0.176662461967,3.26650287895,5,0.01,0.01,2,2,3,170.414398388,987.015071239
35798,-0.0129509719372,98.6263899815,5,0.0376429655177,0.01,184,2,3,179.751350585,15.504165355
35790,0.255024011099,96.0012386487,1,0.01,0.01,184,2,3,0.0417681264367,1000.0
35761,-0.0836862461592,0.01,1,0.01,100.0,2,3,3,0.0,1000.0
35726,-0.106231867623,97.7085450045,5,0.0108373429163,61.3012129562,2,2,0,0.000326411710025,402.434992792
35754,-1.13584502577,77.0392880938,1,0.0101528798946,1.15496850558,27,3,3,0.0,905.218762172
35721,-0.105666826609,99.9978248983,5,0.0102722552027,0.01,2,3,0,0.0,338.820408705
35688,-8.68388301814,100.0,5,0.01,8.66689922371,28,2,3,0.0,869.799416404
35686,-0.0651087038265,0.372072988957,5,0.138778874809,99.7608337044,77,2,1,183.731926114,373.268699387
35652,-0.105896607411,0.0100000217045,1,0.01,0.01,184,3,3,0.0,24.530478886
35646,0.0775438968039,0.01,5,0.01,100.0,2,3,2,184.0,544.792391091
35615,0.254151332865,100.0,1,0.01,0.01,184,2,3,184.0,1000.0
