

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3492,17765,True,100.0,-100.0,R2,None,linear,1,float,Reals
3492,17756,False,100.0,0.01,C,None,linear,1,float,Reals
3492,17760,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3492,17759,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3492,17764,False,100.0,0.01,gamma,None,linear,1,float,Reals
3492,17762,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3492,17763,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3492,17761,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3492,17758,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3492,17757,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
36150,0.281256667875,27.6423463094,4,0.01,50.5174363499,176,3,1,14.3941843814,1.0
36121,0.29456584006,4.11223652727,4,0.01,93.2614100935,9,2,1,0.0,13.137253566
36115,-0.0334440079003,1.4235826134,4,0.01,14.5593816383,122,2,0,26.0761070971,2.21411901854
36113,-0.0334440079003,100.0,4,0.01,10.2254054748,171,2,0,0.0,1.0
36107,0.272089580381,8.59867920789,4,0.162514852563,14.7530362144,32,2,1,0.0,7.3216028149
36102,0.336949357614,12.3718609193,5,0.01,16.8466479421,8,2,1,105.119542328,32.1867282908
36096,0.502855403347,10.9856213053,4,0.01,14.4801569881,16,2,1,22.781922177,2.46145395058
36090,0.300668315106,0.757769816622,4,0.01,16.5546861375,80,2,1,75.4332618932,1.0
36073,0.460294605411,2.16023199671,5,0.01,15.9757082573,25,2,1,26.225404953,1.0
36081,0.401922048809,0.869716973048,4,0.01,20.9200355515,27,2,1,15.5948740261,1.0
36062,0.00276736735823,3.1438155611,5,0.101195171918,9.34672524391,2,3,1,0.0,39.0954136539
36058,0.151667682827,8.24098785198,4,0.01,9.35688770412,2,2,2,184.0,71.9280704205
36045,0.580534287796,8.58056071097,4,0.822350400714,5.93077756082,2,2,1,0.0,997.648612394
36032,0.392479549539,4.39233419497,1,0.01,0.01,2,2,1,0.0,999.717416195
36029,0.208424255347,2.08798175362,4,0.01,13.3468574076,133,2,1,2.34801971175,214.316005808
36013,-0.032442448788,0.01,1,0.01,4.08118175727,160,3,0,0.0,1000.0
36009,0.495021372514,2.58982677698,4,0.350502549949,13.3583304301,6,2,1,0.0,998.333440393
35994,-0.0196100399327,2.74261159258,1,0.01,12.5848926457,2,2,1,0.0,1.0
35990,-0.0324702394578,0.0100020232323,1,0.01,9.01414902002,162,3,1,5.78479417138,1.0
35968,0.491046512133,1.68354836854,4,0.01,14.0637182227,108,2,1,37.5515224249,24.0479604527
35962,-0.032442448788,0.01,1,0.01,100.0,184,3,0,5.31986571193,1.0
35943,-0.00886246905943,1.83188091659,5,0.01,86.4170689492,2,2,1,0.0,1.0
35934,0.448579508043,100.0,3,0.01,0.01,2,2,1,0.0,998.88776942
35933,0.24220142592,1.89724856242,4,0.01,23.377493638,152,3,1,14.6672714371,1.0
