

experiment,id,isOutput,max,min,name,options,scale,size,type,units
3484,17685,True,100.0,-100.0,R2,None,linear,1,float,Reals
3484,17676,False,100.0,0.01,C,None,linear,1,float,Reals
3484,17680,False,5.0,1.0,centrifugation_time,None,linear,1,integer,Integers
3484,17679,False,100.0,0.01,epsilon,None,linear,1,float,Reals
3484,17684,False,100.0,0.01,gamma,None,linear,1,float,Reals
3484,17682,False,184.0,2.0,n_dimensions,None,linear,1,integer,Integers
3484,17683,False,3.0,2.0,nphase,None,linear,1,integer,Integers
3484,17681,False,3.0,0.0,reduc_method,None,linear,1,integer,Integers
3484,17678,False,184.0,0.0,softwindow_mean,None,linear,1,float,Reals
3484,17677,False,1000.0,1.0,softwindow_variance,None,linear,1,float,Reals



ID,R2,C,centrifugation_time,epsilon,gamma,n_dimensions,nphase,reduc_method,softwindow_mean,softwindow_variance
285235,None,90.6625549316,1,2.68307250977,88.1725695801,11,2,3,21.5400390625,65.2667236328
36057,-0.0768430665567,30.0651404395,3,4.53454759429,0.01,139,2,3,183.490142111,1.0
36046,-0.0701726023084,99.998252444,5,2.78947081672,0.01,2,3,2,0.0,1000.0
36035,-2.30764336182,0.0107439221589,1,15.9354062318,100.0,184,2,0,134.816411452,1.0
36033,-0.0761645130985,33.4585321062,1,4.3630828783,100.0,184,2,0,184.0,1.0
36020,-0.0746876384551,25.8349609739,1,3.01849167633,0.01,2,2,0,167.38447823,1.0
36015,-0.0645603326553,14.3156183151,1,0.01,100.0,184,3,0,181.664807879,1000.0
35999,-0.0600590990415,21.6779130011,1,0.01,0.01,184,2,0,184.0,975.519734017
35997,-0.0600590990415,20.8423594537,1,0.01,100.0,184,2,0,184.0,1.0
35976,-0.0626157406197,19.7679915582,5,0.01,100.0,2,3,0,184.0,1.0
35965,-0.0588284998668,15.6587772334,5,0.01,0.01,2,2,3,184.0,975.674131745
35936,-0.0512446458757,60.074374167,5,3.90039329497,0.0100000465319,184,2,2,158.644994299,122.974609657
35931,-0.0576222696266,62.3470669387,5,3.35228311242,0.01,75,3,2,136.292873371,156.594386649
35899,-0.0331506161803,97.8794447922,5,3.86153863917,0.01,38,2,2,22.4914116478,85.7596183039
35860,-0.0600671176815,0.01,1,0.01,0.01,2,2,3,0.0,1000.0
35896,-0.0588646193399,96.281425447,5,4.18746105565,0.01,2,2,2,12.3783936401,87.1033086493
35853,-0.082249162231,88.9897902246,3,4.58969932413,0.01,2,3,0,13.6885411004,100.865337187
35824,-0.0809010645294,95.7245432843,1,4.87928086643,100.0,184,2,0,10.0421213685,854.258367589
35818,-0.0602397204698,23.9535152382,1,0.0100044911403,0.01,2,2,3,184.0,1.0
35778,-0.0626157406197,23.5371723924,5,0.01,0.01,184,3,0,184.0,1000.0
35773,-0.0645603326553,22.40521276,1,0.01,100.0,184,3,0,184.0,1.0
35730,-0.162139307001,6.04976146345,1,4.26941288871,36.2572946851,137,2,3,91.3875825829,1.0
35737,-0.211699345526,22.8981751985,5,3.25668408181,100.0,184,2,3,184.0,924.343977317
35700,-2.33172350737,0.01,1,43.5613631661,0.01,2,3,0,0.0,970.732437618
35693,-2.40191728517,98.6908918814,5,39.6182818832,1.18147000049,2,2,3,0.0,814.098199036
35657,-0.0448214104975,1.70809539018,5,0.01,0.01,184,2,3,13.1858134558,806.973742649
35604,-0.0884920345229,43.016521416,1,4.49401101572,0.01,139,3,3,141.144631043,1.0
35651,-0.0188940633083,46.4435283338,5,3.11889978165,0.01,184,2,3,156.061260843,1000.0
35606,-0.0600590990415,0.327985284578,1,0.01,100.0,2,2,0,10.0038114787,1.0
35599,-0.0464777013713,34.6243404833,5,0.01,0.01,2,2,0,184.0,1.0
35570,-0.0645603326553,19.2511573928,1,0.01,0.01,2,3,0,184.0,926.805550398
35565,nan,19.0006330073,5,3.66058300846,100.0,184,2,3,184.0,1.0
35560,-0.0464777013713,23.2877991841,5,0.01,0.01,2,2,0,184.0,868.495745289
35523,-0.0801895222891,88.3465580061,2,3.01587628603,39.7287804326,34,3,0,13.6670995239,10.7999980874
35517,-0.0992618171131,0.889831408109,4,0.01,100.0,2,3,3,0.0,790.447397029
35511,-0.0600590990415,0.01,1,0.01,0.01,184,2,0,0.0,740.285556646
35478,-0.0645603326553,94.3923844631,1,0.01,100.0,184,3,0,184.0,713.014134795
35473,-0.080950452542,0.01,1,4.8802510335,100.0,184,2,0,0.0,1.0
35471,-0.0614701254724,25.878568064,5,3.91384231894,100.0,184,2,0,184.0,1.0
35441,-0.0464777013713,55.033485758,5,0.01,0.01,184,2,0,184.0,63.951237852
35436,-0.0600590990415,94.345098218,1,0.01,99.9991001058,184,2,0,0.0,188.963076782
35433,-0.0597601110021,53.8437175986,5,3.88325888011,100.0,184,2,0,184.0,1.0
35406,-0.0194319151338,51.5410147969,5,3.46720605279,0.01,184,2,3,184.0,793.423345042
35398,-0.0240954044461,47.3444199843,5,3.44587235934,0.01,184,3,3,184.0,289.657473552
35392,-0.0421519219835,47.8761704799,5,4.29492517494,0.01,184,3,3,184.0,1000.0
35365,-0.0468556031705,91.868540186,5,3.56565104501,0.01,54,2,2,39.7664839729,595.609199477
35353,-0.057662996409,44.0051696881,5,0.515823394266,0.01,184,3,3,184.0,94.2578190733
35348,-0.0487858228976,27.8915200886,5,2.19583966784,0.01,73,2,1,184.0,395.799662292
35317,-0.0270820585917,26.4048909301,5,4.16216384924,0.01,120,2,3,184.0,969.269544949
35313,-0.0205428338003,27.0690637531,5,3.83623851091,0.01,178,2,3,184.0,969.269851818
35308,-0.119004947058,28.0490426116,5,5.34890906071,0.01,2,3,3,184.0,889.947945196
35276,-0.10360517526,26.3267958466,1,4.41764259384,0.01,184,3,3,178.044596249,897.858495215
35271,-0.0296000944008,49.342521802,5,2.59787489065,0.01,184,2,3,183.989323669,881.725826786
35267,-0.0987073078982,94.4315986111,1,3.40705980548,0.01,2,2,3,179.998647033,1000.0
35237,-0.062786663865,98.3033926498,1,2.27946337019,0.01,2,2,0,0.0,1.0
35234,-0.064571084188,0.01,1,0.01,0.01,184,3,3,0.0,1000.0
35229,-0.0521180850416,95.1602248744,5,3.54634639773,0.01,2,2,0,0.0,1.0
35198,-0.080271305259,51.1085940249,5,4.68377827412,100.0,2,3,0,184.0,1.0
